phase,split,n_cycles,top_n,cagr_baseline,cagr_gate_cost_adj,mdd_baseline,mdd_gate_cost_adj,sharpe_baseline,sharpe_gate_cost_adj,cvar5_baseline,cvar5_gate,cvar10_baseline,cvar10_gate,p5_baseline,p5_gate,p10_baseline,p10_gate,tail_event_rate_baseline,tail_event_rate_gate,gate_activation_rate_mean,gate_activation_rate_max,n_bloqueados_mean,n_bloqueados_max,churn_evitado_rate_mean
0,TRAIN,158,10,-0.02492387089496184,0.07290816990380411,-0.4397522082609039,-0.40071404521114284,-0.21587709664162463,0.6270778831271792,-0.13107751949581326,-0.12066165372087324,-0.10470427413867331,-0.09407605879289964,-0.10523217971785072,-0.0847617054041801,-0.06131449250082717,-0.05356239511745733,0.2911392405063291,0.2848101265822785,0.07974683544303797,0.8,0.7974683544303798,8.0,0.05722573839662447
1,TRAIN,157,10,0.0367566478697543,0.08856464576712586,-0.42063240921577816,-0.47636206398291936,0.3147930614233435,0.7886153715116236,-0.11809199684423481,-0.10366041653830566,-0.0909142799832937,-0.08365082474339658,-0.07505410479651682,-0.07567741037441036,-0.05603250439583288,-0.05208204453585436,0.31210191082802546,0.29936305732484075,0.08853503184713377,0.9,0.8853503184713376,9.0,0.06015569709837225
2,TRAIN,157,10,0.15407727041809638,0.1441937468482566,-0.3869145526126415,-0.4278554614639003,1.3425516979888894,1.2759428105262418,-0.10807193545562443,-0.10258888033989921,-0.08456752332184317,-0.08367994542937213,-0.07258961694952232,-0.07366032498524705,-0.04336356064142966,-0.04594751947621306,0.24203821656050956,0.25477707006369427,0.08471337579617835,0.8,0.8471337579617835,8.0,0.0666135881104034
3,TRAIN,157,10,0.10143498012232155,0.1299946009651658,-0.4872604094730629,-0.4738834933268803,0.833418643779076,1.157147080423872,-0.13398962950164722,-0.11284865117682776,-0.10015239660388774,-0.09040068451984948,-0.0792265125499538,-0.08404452996056996,-0.052413519786662824,-0.04396938769086896,0.25477707006369427,0.24203821656050956,0.07707006369426751,0.5,0.7707006369426752,5.0,0.07579617834394904
4,TRAIN,157,10,0.0776953904864699,0.119282213283326,-0.4628776023254849,-0.44145540400435834,0.5804530617215892,0.9075147615385818,-0.1521780309707874,-0.13646093873374093,-0.11026825536858806,-0.10318229737798734,-0.0836043346364708,-0.08302236555694308,-0.05239176047972681,-0.056881643957815455,0.2611464968152866,0.267515923566879,0.07388535031847135,0.4,0.7388535031847133,4.0,0.07218683651804671
5,TRAIN,157,10,0.028419363745107118,0.0967425064439813,-0.4403819562301903,-0.4291911000709796,0.21435219772100023,0.7207072223934687,-0.15122116784962675,-0.14240535005223717,-0.11381889980621021,-0.10593128204775937,-0.0853821344042025,-0.08401287582464909,-0.06854906065569259,-0.050317427629354185,0.28662420382165604,0.267515923566879,0.07452229299363057,0.5,0.7452229299363057,5.0,0.06040339702760086
6,TRAIN,157,10,0.13398785982665418,0.11758583174745318,-0.45231647362751903,-0.4504880378993872,0.9249738794617894,0.8264361099805148,-0.15024377224477314,-0.15168728241811513,-0.10433896065204447,-0.10709731217218697,-0.07271067360184177,-0.07336881155221053,-0.04993085501904334,-0.053008506914379666,0.25477707006369427,0.25477707006369427,0.07133757961783439,0.6,0.7133757961783439,6.0,0.09129511677282377
