sample_group,signal,lookback_L,n,in_top_n_next_rate,became_instavel_1_rate,became_instavel_3_rate,became_instavel_5_rate,log_ret_1_mean,log_ret_1_std,log_ret_3_mean,log_ret_3_std,log_ret_5_mean,log_ret_5_std
CANDIDATE_IGNITION,CAINDO,1,602,0.4335548172757475,0.09800664451827243,0.14950166112956811,0.18272425249169436,-0.0016942909276535167,0.037158941857660735,0.0024141774841136255,0.07149225605142308,0.0036533919875514406,0.08942967623085699
CANDIDATE_IGNITION,ESTAVEL,1,1941,0.5425038639876353,0.07109737248840804,0.1226172076249356,0.1689850592478104,0.00023839446114563465,0.036720243675800075,0.0022057261916622823,0.06284385691886553,0.004831390221224212,0.08238795517509505
CANDIDATE_IGNITION,SUBINDO,1,2177,0.4354616444648599,0.11805236564079008,0.16858061552595316,0.21084060633899862,-0.0018364979890398189,0.04057528503113693,-0.0035497284265050325,0.075826271246018,-0.003069058874925604,0.08841801655829735
CANDIDATE_IGNITION,CAINDO,2,543,0.43278084714548803,0.0865561694290976,0.13075506445672191,0.16022099447513813,-0.00011165647483502078,0.03142506315277247,0.0005865757469504579,0.05570759975859673,0.0021385233149683425,0.07362832941391378
CANDIDATE_IGNITION,ESTAVEL,2,1362,0.5565345080763583,0.07415565345080763,0.13069016152716592,0.17327459618208516,-0.00040577869246730103,0.0344806847979664,0.004600179250394524,0.06746723463132061,0.006812417415331272,0.08056481839766783
CANDIDATE_IGNITION,SUBINDO,2,2809,0.4499822000711997,0.10822356710573158,0.15806336774652902,0.2036311854752581,-0.0013717933743113047,0.041575395032013504,-0.0029922982551304858,0.07377181838707592,-0.0019406453738522922,0.09078342786571242
CANDIDATE_IGNITION,CAINDO,3,440,0.46136363636363636,0.05454545454545454,0.09090909090909091,0.12954545454545455,-3.7499093027905638e-06,0.032121953454595675,0.0001517611466262248,0.05434414705711892,0.0011645643759188825,0.06949445274324226
CANDIDATE_IGNITION,ESTAVEL,3,965,0.5544041450777202,0.06010362694300518,0.12020725388601036,0.1533678756476684,0.00180867859331717,0.03035257158557208,0.006123746149151,0.058098016773377795,0.00800853369810146,0.07827880619415707
CANDIDATE_IGNITION,SUBINDO,3,3303,0.45837117771722674,0.11171662125340599,0.16227671813502875,0.20859824402058735,-0.0018553172966380058,0.04133751844758571,-0.0023557111024663673,0.07499317171305779,-0.0009822876003998632,0.09021732766049659
CANDIDATE_IGNITION,CAINDO,5,220,0.41363636363636364,0.07272727272727272,0.10454545454545454,0.1318181818181818,0.0015868246834095908,0.03897517045367873,-0.001833393326890508,0.05863119430547224,0.0007625883633630671,0.07059648441355308
CANDIDATE_IGNITION,ESTAVEL,5,489,0.5541922290388548,0.07566462167689161,0.11247443762781185,0.16155419222903886,0.0005398718477702392,0.03345921169447611,0.005879421062792849,0.06162110947990888,0.008987099312790793,0.0733917165600245
