sample_group,signal,lookback_L,n,in_top_n_next_rate,became_instavel_1_rate,became_instavel_3_rate,became_instavel_5_rate,log_ret_1_mean,log_ret_1_std,log_ret_3_mean,log_ret_3_std,log_ret_5_mean,log_ret_5_std
CANDIDATE_IGNITION,CAINDO,1,1021,0.4351669941060904,0.08227228207639568,0.13627450980392156,0.1815505397448479,0.00037934517305744284,0.03960209217026954,0.0013458902614963226,0.06825728248684865,9.156129441861058e-05,0.08636107193226195
CANDIDATE_IGNITION,ESTAVEL,1,3474,0.5425347222222222,0.07081174438687392,0.12171906547447361,0.16873735914475585,-0.0007832045054728966,0.03987965819195097,-2.582124531223769e-05,0.06447386484936721,0.0007994453687315693,0.08458204020033189
CANDIDATE_IGNITION,SUBINDO,1,3791,0.429973474801061,0.119493537325244,0.17692104568259837,0.222104706504495,-0.0028408916338593924,0.04513888853302079,-0.004230276465968396,0.07369762332361414,-0.004960606166690116,0.08980515856778443
CANDIDATE_IGNITION,CAINDO,2,901,0.43924191750278707,0.08990011098779134,0.14444444444444443,0.1846496106785317,0.0001916291474345757,0.03964518415461879,-0.0009631168445138872,0.06603905438014329,-0.00240017381670732,0.08367330597775785
CANDIDATE_IGNITION,ESTAVEL,2,2444,0.5552815454171804,0.06342062193126023,0.11685116851168512,0.16139630390143736,-0.0010890173739985932,0.03689737179931199,0.0012925493683920153,0.06416554296113405,0.0021518239467146322,0.08178292871120238
CANDIDATE_IGNITION,SUBINDO,2,4932,0.4456676860346585,0.11050283860502838,0.16524563540397888,0.21305143321813377,-0.0021524543023618815,0.045178915099414685,-0.0034929456419720375,0.07199059548030572,-0.003910647978924221,0.09022747924494713
CANDIDATE_IGNITION,CAINDO,3,757,0.4541832669322709,0.0607661822985469,0.10582010582010581,0.1456953642384106,-0.000585811155493438,0.0414796401079107,-0.0022527121694012322,0.06549199870746192,-0.003985273639054127,0.08121346168192017
CANDIDATE_IGNITION,ESTAVEL,3,1743,0.5509499136442142,0.05335628227194492,0.11423650975889782,0.15344827586206897,-0.0002379660456790122,0.03508655169407564,0.0006815686147375906,0.05948487239285233,0.0015260043086407274,0.08164825820472288
CANDIDATE_IGNITION,SUBINDO,3,5768,0.45746164574616455,0.11113037447988905,0.16481417158735673,0.213776308923291,-0.002131014014103461,0.044323243407357896,-0.002446291868443885,0.07216434540649522,-0.002788113029823396,0.08944303744487767
CANDIDATE_IGNITION,CAINDO,5,380,0.41005291005291006,0.07368421052631578,0.11842105263157894,0.15,0.0005901393169371289,0.05083631721284199,-0.0029328761961530604,0.0647531317392835,-0.0014996641689837358,0.074414300708566
CANDIDATE_IGNITION,ESTAVEL,5,887,0.5520361990950227,0.06200676437429538,0.11173814898419865,0.15593220338983052,-0.001123781164468536,0.03228295639255711,0.0018013483520131688,0.060625240828579015,0.00466464466550558,0.07733259808321019
CANDIDATE_IGNITION,SUBINDO,5,6982,0.47055435565154785,0.09968490403895731,0.15535791134700905,0.2025862068965517,-0.0017073936783831743,0.04235428295416248,-0.00217275380731249,0.07033617568647729,-0.0027757103359368164,0.08888673199746427
CANDIDATE_IGNITION,CAINDO,10,270,0.362962962962963,0.040740740740740744,0.08148148148148149,0.14444444444444443,-0.0009343271426437049,0.030205716068586835,0.002641758072967859,0.049383795724977794,-0.0009846510527179721,0.07535298569194894
CANDIDATE_IGNITION,ESTAVEL,10,400,0.48,0.0525,0.1025,0.1775,0.0018748069293941416,0.030826447536460213,0.00016356109806846985,0.058401548744777584,0.0011600676586059678,0.07996167846709565
CANDIDATE_IGNITION,SUBINDO,10,7550,0.48042088438998404,0.09894039735099337,0.15441761740514726,0.19864469837895296,-0.0017813231188546891,0.04221575223835322,-0.0019902615822580505,0.06991472193000399,-0.002044224110174473,0.08774695551324854
TOPN_ALL,CAINDO,1,2546,0.4597791798107255,0.07737627651217596,0.13571990558615263,0.17927501970055162,0.0013703852588460399,0.03771335694557611,0.0022617864331339462,0.06665792847586777,0.0010707250033416033,0.0855412139940056
TOPN_ALL,ESTAVEL,1,10929,0.6478252890438613,0.06286027998902004,0.11813186813186813,0.16882045642012647,-0.0007811906173652325,0.041083735984087835,-0.0008772359843053468,0.0692389054196767,-0.0010410882209591812,0.09004155958539811
TOPN_ALL,SUBINDO,1,5707,0.46283902782669956,0.10320658840021027,0.15964912280701754,0.2056911997189531,-0.0012293489607726829,0.04244641741403485,-0.002134444128692481,0.07019705698997784,-0.0020548795889691676,0.08715230454295682
TOPN_ALL,CAINDO,2,2819,0.46419665122907017,0.07343029443064916,0.12961647727272727,0.17318634423897583,0.0004628304556650011,0.03623112799216741,0.0004722055393780238,0.06522334251802486,-0.0018546692192397908,0.08595894045822959
TOPN_ALL,ESTAVEL,2,9008,0.6694868084158967,0.06183392539964476,0.11947099355412313,0.17070729537366547,-0.0001938912129042814,0.040956793628770014,0.00013882804258446324,0.0699721658157749,0.00028850112565014413,0.08966724343553378
TOPN_ALL,SUBINDO,2,7346,0.4825652946807056,0.09624285325347127,0.15029295544352092,0.197025515077091,-0.0015823736620134547,0.04285714352167392,-0.0025560633888422933,0.06950710121302432,-0.0024522890591920326,0.08814480217233372
TOPN_ALL,CAINDO,3,2931,0.4744600617072335,0.06755373592630501,0.11790840738209159,0.16392881587953456,0.0006547701288940827,0.03756485456908401,0.00022127480470438273,0.06660000471366259,-0.0014405464202656279,0.0852348033853109
TOPN_ALL,ESTAVEL,3,7785,0.6801442183878444,0.056904303147077714,0.11757902852737086,0.1680812757201646,-0.0002405790255910675,0.04013333662664695,-0.0006137230786037094,0.06930267149401541,-3.7281511408249086e-05,0.09069439103391416
TOPN_ALL,SUBINDO,3,8448,0.4960171204375223,0.09812973484848485,0.15196775723091513,0.1992641822929029,-0.0014390756300009559,0.04297039204226948,-0.00139076336347875,0.06974527150807605,-0.0019371861042434854,0.08766828050478138
TOPN_ALL,CAINDO,5,2879,0.4631505413901502,0.06217436609934005,0.11478260869565217,0.16411149825783972,0.0004344351432968497,0.03850288922243215,-0.00036395938120141713,0.06586190628031642,-0.0010012282603103068,0.08377288460443062
TOPN_ALL,ESTAVEL,5,6377,0.6951602765556254,0.06288223302493336,0.12188235294117647,0.17124470255846805,-0.0003475137023844519,0.04097568416690834,-0.00010297781054872441,0.07165354230223386,0.00010151647863084372,0.09239176018869646
TOPN_ALL,SUBINDO,5,9889,0.5154346060113729,0.08989786631610881,0.14521518987341772,0.19282238442822383,-0.001080935605761446,0.04140321083259544,-0.001440143244958898,0.06834830488738666,-0.0018221060472227053,0.08734496736778255
TOPN_ALL,CAINDO,10,2540,0.4709141274238227,0.0594488188976378,0.11005917159763313,0.16278150928486765,0.0003193856859589488,0.03498005021382155,-0.0011955594815083056,0.06285559957225491,-0.004600247405030566,0.08456558712803777
TOPN_ALL,ESTAVEL,10,4412,0.6870177031320926,0.06323662737987307,0.12174110179097711,0.17105263157894737,-0.00011588808923395077,0.04290958686429257,-0.0002952393215081842,0.07364327186104842,-0.00036525720569153343,0.09289779981210416
TOPN_ALL,SUBINDO,10,12141,0.5444168734491315,0.08557779425088544,0.14224457821390285,0.18961532111606405,-0.0009743872085461511,0.04082940108726987,-0.0008563971107481458,0.06831705634068548,-0.0005026915144412829,0.08759963989564933
