date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross
2018-07-10,V1,AMZO34,rebalance_sell,,,1.0,2,33.503885754045,0.008378065955,2018-07-11,1,,,
2018-07-10,V1,A1MD34,concentration_trim,,,,114,906.61564441125,0.22671058875,2018-07-11,1,0.15894913829297147,0.2,907.3804696700263
2018-07-10,V1,NFLX34,concentration_trim,,,,63,201.32039729100603,0.05034268499400001,2018-07-11,1,0.1520112693922596,0.2,203.9282918023382
2018-07-17,V1,N1TA34,rebalance_sell,,,1.0,47,14978.212001627251,3.7454893727500003,2018-07-18,1,,,
2018-07-17,V1,NFLX34,rebalance_sell,,,1.0,4758,13961.116167898068,3.491151829932,2018-07-18,1,,,
2018-07-17,V1,A1LG34,concentration_trim,,,,2,716.259171929625,0.179109570375,2018-07-18,1,0.15714004670303697,0.2,732.4457716813868
2018-07-17,V1,A1MD34,concentration_trim,,,,25,203.81771095546875,0.05096716953125,2018-07-18,1,0.15199339678172594,0.2,204.48780736694243
2018-07-18,V1,FHER3,defensive_sell,5.0,-1.5757410198384585,0.5,7,470.28240000000005,0.11760000000000001,2018-07-20,0,,,
2018-07-24,V1,D1VN34,rebalance_sell,,,1.0,59,9845.658905765998,2.4620302339999998,2018-07-25,1,,,
2018-07-24,V1,FHER3,rebalance_sell,,,1.0,6,406.69829999999996,0.10169999999999998,2018-07-26,1,,,
2018-07-24,V1,L1UL34,rebalance_sell,,,1.0,122,14046.94623628725,3.51261471275,2018-07-25,1,,,
2018-07-24,V1,N1TA34,rebalance_sell,,,1.0,1,294.354133065,0.073606935,2018-07-25,1,,,
2018-07-24,V1,NFLX34,rebalance_sell,,,1.0,1,2.676300733506,0.0006692424939999999,2018-07-25,1,,,
2018-07-27,V1,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,42,13801.4324730765,3.4512209235,2018-07-30,0,,,
2018-07-31,V1,D1EX34,rebalance_sell,,,1.0,7739,13818.539235031572,3.45549868342875,2018-08-01,1,,,
2018-07-31,V1,D1VN34,rebalance_sell,,,1.0,1,168.96579698775,0.04225201225,2018-08-01,1,,,
2018-07-31,V1,FHER3,rebalance_sell,,,1.0,1,76.480875,0.019125,2018-08-02,1,,,
2018-07-31,V1,ORLY34,rebalance_sell,,,1.0,1,0.247034871,6.177416129032258e-05,2018-08-01,1,,,
2018-07-31,V1,A1MD34,concentration_trim,,,,256,2201.923525464,0.550618536,2018-08-01,1,0.17283759253656142,0.2,2211.070400713088
2018-08-07,V1,D1EX34,rebalance_sell,,,1.0,1,2.31484198479,0.0005788552100000001,2018-08-08,1,,,
2018-08-07,V1,ORLY34,rebalance_sell,,,1.0,18,4.534501298553001,0.0011339088018387099,2018-08-08,1,,,
2018-08-07,V1,T2ER34,rebalance_sell,,,1.0,1609,14598.58919906025,3.65055993975,2018-08-08,1,,,
