date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,split_factor,ratio_applied,shares_before,shares_after,buy_price_before,buy_price_after
2018-07-17,V3,N1TA34,rebalance_sell,,,1.0,47.0,14978.212001627251,3.7454893727500003,2018-07-18,1.0,,,,,,,,,
2018-07-17,V3,NFLX34,rebalance_sell,,,1.0,4821.0,14145.973317662167,3.5373776738340004,2018-07-18,1.0,,,,,,,,,
2018-07-17,V3,A1LG34,concentration_trim,,,,2.0,716.259171929625,0.179109570375,2018-07-18,1.0,0.15712848418833328,0.2,731.3134676334757,,,,,,
2018-07-17,V3,A1MD34,concentration_trim,,,,138.0,1125.0737644741876,0.2813387758125,2018-07-18,1.0,0.1610439139238188,0.2,1132.996675569033,,,,,,
2018-07-25,V3,N1TA34,defensive_sell,6.0,-2.924714306656562,1.0,1.0,302.15548224,0.07555776,2018-07-26,0.0,,,,,,,,,
2018-07-27,V3,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,42.0,13801.4324730765,3.4512209235,2018-07-30,0.0,,,,,,,,,
2018-07-31,V3,AMZO34,rebalance_sell,,,1.0,2.0,33.36220464318001,0.00834263682,2018-08-01,1.0,,,,,,,,,
2018-07-31,V3,D1EX34,rebalance_sell,,,1.0,4.0,7.142286721815,0.001786018185,2018-08-01,1.0,,,,,,,,,
2018-07-31,V3,D1VN34,rebalance_sell,,,1.0,59.0,9968.98202227725,2.49286872275,2018-08-01,1.0,,,,,,,,,
2018-07-31,V3,L1UL34,rebalance_sell,,,1.0,121.0,13621.201561821563,3.4061519284375,2018-08-01,1.0,,,,,,,,,
2018-07-31,V3,NFLX34,rebalance_sell,,,1.0,1.0,2.5335484644974997,0.0006335455025,2018-08-01,1.0,,,,,,,,,
2018-07-31,V3,A1MD34,concentration_trim,,,,169.0,1453.6135773570936,0.36349426790624995,2018-08-01,1.0,0.16483269070110412,0.2,1461.6703453623704,,,,,,
2018-08-09,V3,A2XO34,defensive_sell,6.0,-3.8303798830831393,1.0,1043.0,13070.851779367084,3.268530077361111,2018-08-10,0.0,,,,,,,,,
2018-08-14,V3,D1VN34,rebalance_sell,,,1.0,1.0,164.56054157699998,0.041150423,2018-08-15,1.0,,,,,,,,,
2018-08-14,V3,T2ER34,rebalance_sell,,,1.0,1638.0,14787.865805076002,3.6978909240000006,2018-08-15,1.0,,,,,,,,,
2018-08-14,V3,A1MD34,concentration_trim,,,,40.0,388.41099296999994,0.09712702999999999,2018-08-15,1.0,0.15361683272055773,0.2,393.10231551527977,,,,,,
2018-08-14,V3,T2TD34,concentration_trim,,,,11743.0,6060.216469824301,1.5154329757000002,2018-08-15,1.0,0.2057735111913336,0.2,6061.844297169786,,,,,,
2018-08-28,V3,A1LG34,rebalance_sell,,,1.0,14.0,5509.596956325001,1.3777436750000003,2018-08-29,1.0,,,,,,,,,
2018-08-28,V3,L1UL34,rebalance_sell,,,1.0,1.0,142.77696083400002,0.035703166,2018-08-29,1.0,,,,,,,,,
2018-08-28,V3,M1NS34,rebalance_sell,,,1.0,1086.0,16992.069573336754,4.249079663250001,2018-08-29,1.0,,,,,,,,,
2018-08-28,V3,ORLY34,rebalance_sell,,,1.0,5.0,1.4702731101300002,0.0003676601925806452,2018-08-29,1.0,,,,,,,,,
2018-08-28,V3,A1MD34,concentration_trim,,,,285.0,3675.0808250437503,0.9189999562500001,2018-08-29,1.0,0.1807967380392311,0.2,3688.887803200476,,,,,,
2018-08-28,V3,T2TD34,concentration_trim,,,,447.0,257.880765103146,0.064486312854,2018-08-29,1.0,0.15215491960291433,0.2,258.11810461791174,,,,,,
2018-09-12,V3,A1LG34,rebalance_sell,,,1.0,1.0,393.7496372251875,0.09846202481249999,2018-09-13,1.0,,,,,,,,,
2018-09-12,V3,C1NC34,rebalance_sell,,,1.0,1.0,297.5680153935,0.0744106065,2018-09-13,1.0,,,,,,,,,
2018-09-12,V3,M1NS34,rebalance_sell,,,1.0,1.0,15.027411645140624,0.003757792359375,2018-09-13,1.0,,,,,,,,,
2018-09-12,V3,T1CH34,rebalance_sell,,,1.0,1.0,6.73625404036875,0.00168448463125,2018-09-13,1.0,,,,,,,,,
2018-09-12,V3,A1MD34,concentration_trim,,,,248.0,4118.72247089775,1.02993810225,2018-09-13,1.0,0.1824703576654414,0.2,4120.756557816458,,,,,,
2018-09-26,V3,INBR32,concentration_trim,,,,98.0,1246.2483600000003,0.31164000000000003,2018-09-28,1.0,0.1597935981241745,0.2,1252.8119608684756,,,,,,
