sample_group,signal,lookback_L,n,in_top_n_next_rate,became_instavel_1_rate,became_instavel_3_rate,became_instavel_5_rate,log_ret_1_mean,log_ret_1_std,log_ret_3_mean,log_ret_3_std,log_ret_5_mean,log_ret_5_std
CONSOLIDADO,CAINDO,1,939,0.49627263045793396,0.06283280085197018,0.12247071352502663,0.1597444089456869,0.00213884615176508,0.03360952320533335,0.003461746936133647,0.0635266352277184,0.004567802226244321,0.08297474352131928
CONSOLIDADO,ESTAVEL,1,4197,0.6928758637121754,0.06456993090302597,0.12532761496306885,0.18465570645699309,-0.0004299644750497547,0.0391076473857545,-0.000564776024614397,0.06736994076115022,-0.0016212601499950954,0.08901580386116398
CONSOLIDADO,SUBINDO,1,1139,0.5513608428446005,0.06672519754170325,0.13432835820895522,0.18173836698858647,0.0022959178731465062,0.03536739422515244,0.004671056323106681,0.06358794773304971,0.008034546666227034,0.08275936014236081
CONSOLIDADO,CAINDO,2,1202,0.49584026622296173,0.05740432612312812,0.11314475873544093,0.1572379367720466,0.0006844198708728193,0.034142339902292214,0.0016053624325802977,0.06555844250694029,-0.00025687002311106853,0.08936383873844664
CONSOLIDADO,ESTAVEL,2,3631,0.7069677774717709,0.06719911870008262,0.13191958138253926,0.1922335444781052,0.0002830068897464539,0.039504800366730604,0.00015848064844165949,0.06806035825494997,-0.00022331991765500405,0.08871795689832794
CONSOLIDADO,SUBINDO,2,1442,0.5818307905686546,0.06449375866851595,0.12413314840499307,0.16990291262135923,0.0006717027675304824,0.03578035130336962,0.0025627320882719794,0.06166336228268025,0.0053784455496057,0.08076522585270669
CONSOLIDADO,CAINDO,3,1377,0.48946986201888165,0.06100217864923747,0.11256354393609296,0.16194625998547568,0.0005754517010552929,0.034711608976249364,0.0008919325196180273,0.06788144366096249,-0.0009230479897247056,0.08960181984966636
CONSOLIDADO,ESTAVEL,3,3289,0.7181514138035877,0.06445728184858619,0.13073882639100032,0.19185162663423533,-4.270523899858122e-05,0.039040282579147614,-0.0008108216452970505,0.06763909558998418,0.00012975598613134025,0.08872045602547367
CONSOLIDADO,SUBINDO,3,1609,0.6003729024238658,0.06836544437538844,0.12989434431323804,0.17277812305779988,0.0013467536550345895,0.03731166820260519,0.004747762499446462,0.061316636446858225,0.004649071309640481,0.08134347519414653
CONSOLIDADO,CAINDO,5,1561,0.4746957078795644,0.04676489429852659,0.1031390134529148,0.16079436258808455,9.878528137974275e-07,0.034134817916054175,-0.0009498910656174593,0.06450874346369373,-0.0012674787956491187,0.08464873749450628
