arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_bloqueados,gate_activation_rate,tickers_baseline,tickers_arm,tickers_bloqueados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm,churn_evitado,churn_evitado_rate,n_reentrants_baseline,arm_catches_reentry,recidiva_avoidance_rate
Baseline,2,2024-01-09,2024-01-08,2024-01-18,2024-01-17,HOLDOUT,7,10,0,0.0,C2OI34;GFSA3;CMIN3;CSNA3;CEDO4;JSLG3;C2RW34;UGPA3;SBFG3;VIVR3,C2OI34;GFSA3;CMIN3;CSNA3;CEDO4;JSLG3;C2RW34;UGPA3;SBFG3;VIVR3,,,-0.0001789503457166955,-0.0001789503457166955,-0.0001789503457166955,0.0,0,0.0,0,0,
Baseline,2,2024-01-18,2024-01-17,2024-01-29,2024-01-26,HOLDOUT,7,10,1,0.1,GFSA3;CEDO4;RCSL3;D1EX34;VIVR3;C2OI34;JSLG3;VSTE3;C2RW34;UGPA3,CEDO4;RCSL3;D1EX34;VIVR3;C2OI34;JSLG3;VSTE3;C2RW34;UGPA3;A1MD34,GFSA3,A1MD34,-0.09707707304627362,-0.05686481780676368,-0.05691481780676368,5e-05,0,0.0,0,0,
Baseline,2,2024-01-29,2024-01-26,2024-02-07,2024-02-06,HOLDOUT,7,10,1,0.1,A1MD34;USIM5;C2RW34;CSNA3;SBFG3;CEDO4;CAON34;U1BE34;GFSA3;U1RI34,A1MD34;USIM5;C2RW34;CSNA3;SBFG3;CEDO4;CAON34;U1BE34;GFSA3;ANIM3,U1RI34,ANIM3,-0.02478233219099748,-0.03545813076935231,-0.03550813076935231,5e-05,0,0.0,1,0,0.0
Baseline,2,2024-02-07,2024-02-06,2024-02-20,2024-02-19,HOLDOUT,7,10,2,0.2,C2RW34;TPRY34;CEBR6;U1BE34;NVDC34;SBFG3;D1DG34;U1RI34;DVAI34;A1MD34,C2RW34;TPRY34;U1BE34;SBFG3;D1DG34;U1RI34;DVAI34;A1MD34;A1LG34;I1SR34,CEBR6;NVDC34,A1LG34;I1SR34,0.03683448177438649,0.03563744254001304,0.03553744254001304,0.0001,0,0.0,1,0,0.0
Baseline,2,2024-02-20,2024-02-19,2024-03-05,2024-02-28,HOLDOUT,7,10,2,0.2,C2RW34;C2OI34;TPRY34;P2AN34;A1LG34;R1LC34;NVDC34;U1BE34;T2RM34;GMCO34,C2RW34;C2OI34;TPRY34;P2AN34;A1LG34;R1LC34;NVDC34;GMCO34;S1YF34;AXPB34,T2RM34;U1BE34,AXPB34;S1YF34,0.007976201745319569,0.013622724947689258,0.013522724947689259,0.0001,0,0.0,1,0,0.0
Baseline,2,2024-03-05,2024-02-28,2024-03-14,2024-03-13,HOLDOUT,7,10,1,0.1,TPRY34;NVDC34;C2RW34;U1RI34;GMCO34;R1LC34;SYNE3;S1YF34;USIM5;S1OU34,TPRY34;NVDC34;C2RW34;U1RI34;GMCO34;R1LC34;S1YF34;USIM5;S1OU34;POMO3,SYNE3,POMO3,0.0010403477076663032,-0.028428533205659627,-0.02847853320565963,5e-05,0,0.0,0,0,
Baseline,2,2024-03-14,2024-03-13,2024-03-25,2024-03-22,HOLDOUT,7,10,0,0.0,AMER3;L1RC34;JFEN3;OIBR4;OIBR3;NVDC34;FASL34;GEOO34;SYNE3;C2OI34,AMER3;L1RC34;JFEN3;OIBR4;OIBR3;NVDC34;FASL34;GEOO34;SYNE3;C2OI34,,,-0.008959555252991178,-0.008959555252991178,-0.008959555252991178,0.0,0,0.0,1,0,0.0
Baseline,2,2024-03-25,2024-03-22,2024-04-04,2024-04-03,HOLDOUT,7,10,0,0.0,AMER3;L1RC34;JFEN3;OIBR4;NVDC34;FASL34;GEOO34;OIBR3;BSDV39;SYNE3,AMER3;L1RC34;JFEN3;OIBR4;NVDC34;FASL34;GEOO34;OIBR3;BSDV39;SYNE3,,,0.0021624088468077153,0.0021624088468077153,0.0021624088468077153,0.0,0,0.0,0,0,
Baseline,2,2024-04-04,2024-04-03,2024-04-15,2024-04-12,HOLDOUT,7,10,0,0.0,AMER3;L1RC34;JFEN3;OIBR4;FASL34;NVDC34;D1EL34;BSDV39;W1DC34;DDNB34,AMER3;L1RC34;JFEN3;OIBR4;FASL34;NVDC34;D1EL34;BSDV39;W1DC34;DDNB34,,,-0.03621881151188831,-0.03621881151188831,-0.03621881151188831,0.0,0,0.0,0,0,
Baseline,2,2024-04-15,2024-04-12,2024-04-24,2024-04-23,HOLDOUT,7,10,0,0.0,AMER3;L1RC34;JFEN3;OIBR4;FASL34;W1DC34;NVDC34;BSDV39;DDNB34;TXRX3,AMER3;L1RC34;JFEN3;OIBR4;FASL34;W1DC34;NVDC34;BSDV39;DDNB34;TXRX3,,,-0.030274754957382428,-0.030274754957382428,-0.030274754957382428,0.0,0,0.0,0,0,
