phase,split,n_cycles,top_n,cagr_baseline,cagr_gate,mdd_baseline,mdd_gate,sharpe_baseline,sharpe_gate,gate_activation_rate_mean,gate_activation_rate_max,n_bloqueados_mean,n_bloqueados_max
0,TRAIN,158,10,-0.02492387089496184,0.07444937435764332,-0.4397522082609039,-0.40002446993334806,-0.21587709664162463,0.6399035991634989,0.07974683544303797,0.8,0.7974683544303798,8.0
1,TRAIN,157,10,0.0367566478697543,0.09030079869333285,-0.42063240921577816,-0.4754186668954271,0.3147930614233435,0.8035474900631377,0.08853503184713377,0.9,0.8853503184713376,9.0
2,TRAIN,157,10,0.15407727041809638,0.14593979099707455,-0.3869145526126415,-0.4269966006715382,1.3425516979888894,1.2904663876804185,0.08471337579617835,0.8,0.8471337579617835,8.0
3,TRAIN,157,10,0.10143498012232155,0.13156328640744142,-0.4872604094730629,-0.473199097107048,0.833418643779076,1.1702373171403024,0.07707006369426751,0.5,0.7707006369426752,5.0
4,TRAIN,157,10,0.0776953904864699,0.12077177762843005,-0.4628776023254849,-0.44117606187664826,0.5804530617215892,0.918304447379015,0.07388535031847135,0.4,0.7388535031847133,4.0
5,TRAIN,157,10,0.028419363745107118,0.09821466539645152,-0.4403819562301903,-0.4284771428157469,0.21435219772100023,0.7312482879911264,0.07452229299363057,0.5,0.7452229299363057,5.0
6,TRAIN,157,10,0.13398785982665418,0.11902181913746213,-0.45231647362751903,-0.4502681891477279,0.9249738794617894,0.8360429283422258,0.07133757961783439,0.6,0.7133757961783439,6.0
