date,label,adtv_threshold,pct_threshold,n_universe
2018-09-03,V0_BASELINE,0.0,0.0,592
2018-09-04,V0_BASELINE,0.0,0.0,592
2018-09-05,V0_BASELINE,0.0,0.0,592
2018-09-06,V0_BASELINE,0.0,0.0,592
2018-09-10,V0_BASELINE,0.0,0.0,592
2018-09-11,V0_BASELINE,0.0,0.0,592
2018-09-12,V0_BASELINE,0.0,0.0,592
2018-09-13,V0_BASELINE,0.0,0.0,592
2018-09-14,V0_BASELINE,0.0,0.0,592
2018-09-17,V0_BASELINE,0.0,0.0,592
2018-09-18,V0_BASELINE,0.0,0.0,592
2018-09-19,V0_BASELINE,0.0,0.0,592
2018-09-20,V0_BASELINE,0.0,0.0,592
2018-09-21,V0_BASELINE,0.0,0.0,592
2018-09-24,V0_BASELINE,0.0,0.0,592
2018-09-25,V0_BASELINE,0.0,0.0,592
2018-09-26,V0_BASELINE,0.0,0.0,592
2018-09-27,V0_BASELINE,0.0,0.0,592
2018-09-28,V0_BASELINE,0.0,0.0,592
2018-10-01,V0_BASELINE,0.0,0.0,592
2018-10-02,V0_BASELINE,0.0,0.0,592
2018-10-03,V0_BASELINE,0.0,0.0,592
2018-10-04,V0_BASELINE,0.0,0.0,592
2018-10-05,V0_BASELINE,0.0,0.0,593
2018-10-08,V0_BASELINE,0.0,0.0,593
2018-10-09,V0_BASELINE,0.0,0.0,593
2018-10-10,V0_BASELINE,0.0,0.0,593
2018-10-11,V0_BASELINE,0.0,0.0,593
2018-10-15,V0_BASELINE,0.0,0.0,593
2018-10-16,V0_BASELINE,0.0,0.0,593
2018-10-17,V0_BASELINE,0.0,0.0,593
2018-10-18,V0_BASELINE,0.0,0.0,593
2018-10-19,V0_BASELINE,0.0,0.0,593
2018-10-22,V0_BASELINE,0.0,0.0,593
2018-10-23,V0_BASELINE,0.0,0.0,593
2018-10-24,V0_BASELINE,0.0,0.0,593
2018-10-25,V0_BASELINE,0.0,0.0,593
2018-10-26,V0_BASELINE,0.0,0.0,593
2018-10-29,V0_BASELINE,0.0,0.0,593
2018-10-30,V0_BASELINE,0.0,0.0,594
2018-10-31,V0_BASELINE,0.0,0.0,594
2018-11-01,V0_BASELINE,0.0,0.0,594
2018-11-05,V0_BASELINE,0.0,0.0,594
2018-11-06,V0_BASELINE,0.0,0.0,594
2018-11-07,V0_BASELINE,0.0,0.0,594
2018-11-08,V0_BASELINE,0.0,0.0,594
2018-11-09,V0_BASELINE,0.0,0.0,594
2018-11-12,V0_BASELINE,0.0,0.0,594
2018-11-13,V0_BASELINE,0.0,0.0,595
2018-11-14,V0_BASELINE,0.0,0.0,595
2018-11-16,V0_BASELINE,0.0,0.0,595
2018-11-19,V0_BASELINE,0.0,0.0,595
2018-11-21,V0_BASELINE,0.0,0.0,595
2018-11-22,V0_BASELINE,0.0,0.0,595
2018-11-23,V0_BASELINE,0.0,0.0,595
2018-11-26,V0_BASELINE,0.0,0.0,595
2018-11-27,V0_BASELINE,0.0,0.0,595
2018-11-28,V0_BASELINE,0.0,0.0,595
2018-11-29,V0_BASELINE,0.0,0.0,595
2018-11-30,V0_BASELINE,0.0,0.0,595
2018-12-03,V0_BASELINE,0.0,0.0,595
2018-12-04,V0_BASELINE,0.0,0.0,595
2018-12-05,V0_BASELINE,0.0,0.0,595
2018-12-06,V0_BASELINE,0.0,0.0,595
2018-12-07,V0_BASELINE,0.0,0.0,595
2018-12-10,V0_BASELINE,0.0,0.0,595
2018-12-11,V0_BASELINE,0.0,0.0,595
2018-12-12,V0_BASELINE,0.0,0.0,595
2018-12-13,V0_BASELINE,0.0,0.0,595
2018-12-14,V0_BASELINE,0.0,0.0,595
2018-12-17,V0_BASELINE,0.0,0.0,595
2018-12-18,V0_BASELINE,0.0,0.0,595
2018-12-19,V0_BASELINE,0.0,0.0,595
2018-12-20,V0_BASELINE,0.0,0.0,595
2018-12-21,V0_BASELINE,0.0,0.0,595
2018-12-26,V0_BASELINE,0.0,0.0,595
2018-12-27,V0_BASELINE,0.0,0.0,595
2018-12-28,V0_BASELINE,0.0,0.0,595
2019-01-02,V0_BASELINE,0.0,0.0,595
2019-01-03,V0_BASELINE,0.0,0.0,595
2019-01-04,V0_BASELINE,0.0,0.0,595
2019-01-07,V0_BASELINE,0.0,0.0,595
2019-01-08,V0_BASELINE,0.0,0.0,595
2019-01-09,V0_BASELINE,0.0,0.0,595
2019-01-10,V0_BASELINE,0.0,0.0,595
2019-01-11,V0_BASELINE,0.0,0.0,595
2019-01-14,V0_BASELINE,0.0,0.0,595
2019-01-15,V0_BASELINE,0.0,0.0,595
2019-01-16,V0_BASELINE,0.0,0.0,595
