date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,split_factor,ratio_applied,shares_before,shares_after,buy_price_before,buy_price_after,phase_offset,cadence
2018-07-18,C08_P6,FHER3,defensive_sell,5.0,-1.5757410198384585,0.5,89.0,5979.3048,1.4952,2018-07-20,0.0,,,,,,,,,,6,8
2018-07-23,C08_P6,AMZO34,rebalance_sell,,,1.0,1.0,17.076437323125,0.004270176875,2018-07-24,1.0,,,,,,,,,,6,8
2018-07-23,C08_P6,E2NP34,rebalance_sell,,,1.0,1.0,1.0189004112,0.0002547888,2018-07-24,1.0,,,,,,,,,,6,8
2018-07-23,C08_P6,FHER3,rebalance_sell,,,1.0,91.0,6031.791675,1.5083250000000001,2018-07-25,1.0,,,,,,,,,,6,8
2018-07-23,C08_P6,INTU34,rebalance_sell,,,1.0,1.0,18.727911964857956,0.004683148778409091,2018-07-24,1.0,,,,,,,,,,6,8
2018-07-23,C08_P6,NFLX34,rebalance_sell,,,1.0,4668.0,12834.027731779737,3.2093092602599995,2018-07-24,1.0,,,,,,,,,,6,8
2018-07-23,C08_P6,A1MD34,concentration_trim,,,,64.0,505.20478722,0.12633278,2018-07-24,1.0,0.15520209306003158,0.2,508.6628226097764,,,,,,,6,8
2018-07-23,C08_P6,A2XO34,concentration_trim,,,,121.0,1908.2671269772918,0.4771860782638889,2018-07-24,1.0,0.1695562422603841,0.2,1912.2150297490007,,,,,,,6,8
2018-07-23,C08_P6,D1EX34,concentration_trim,,,,197.0,389.53627865323125,0.09740842176875,2018-07-24,1.0,0.15399155430326653,0.2,390.29343061351574,,,,,,,6,8
2018-07-23,C08_P6,T2TD34,concentration_trim,,,,1890.0,679.7339368218,0.1699759782,2018-07-24,1.0,0.1569560935322871,0.2,680.1648424417817,,,,,,,6,8
2018-07-27,C08_P6,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,39.0,12815.61586785675,3.20470514325,2018-07-30,0.0,,,,,,,,,,6,8
2018-08-02,C08_P6,D1EX34,rebalance_sell,,,1.0,7415.0,17398.487638288032,4.35070958696875,2018-08-03,1.0,,,,,,,,,,6,8
2018-08-02,C08_P6,NFLX34,rebalance_sell,,,1.0,1.0,2.593092064875,0.000648435125,2018-08-03,1.0,,,,,,,,,,6,8
