date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,phase_offset,cadence
2018-07-02,100024.58299999998,100024.58299999998,0.0,0,0,0.0,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,0,1,0,0,0,0,0,0,0,0,3334.188599739967,4,15
2018-07-03,100049.17204323887,100049.17204323887,0.0,0,0,0.0,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,0,2,0,0,0,0,0,0,0,0,3334.188599739967,4,15
2018-07-04,100073.76713120224,100073.76713120224,0.0,0,0,0.0,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,0,3,0,0,0,0,0,0,0,0,3334.188599739967,4,15
2018-07-05,100098.36826537609,100098.36826537609,0.0,0,0,0.0,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,0,4,0,0,0,0,0,0,0,0,3334.188599739967,4,15
2018-07-06,100073.35051747486,1.18952058951543,0.0,0,10,0.1500286572675337,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,1,1,4,0,0,0,0,0,0,0,0,3334.188599739967,4,15
2018-07-10,98666.7967239427,1.1898130093619503,0.0,0,10,0.15167576605466584,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,5,0,0,0,0,0,0,0,0,3334.188599739967,4,15
2018-07-11,98040.2890941701,1.1901055010940416,0.0,0,10,0.15547347362234973,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,6,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-12,99837.42775873274,1.1903980647293755,0.0,0,10,0.15613890528260807,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,7,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-13,98836.4549474853,1.1906907002856277,0.0,0,10,0.15672412859435642,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,8,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-16,98627.32349554122,1.1909834077804788,0.0,0,10,0.15588013125688271,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,9,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-17,99526.58512464448,1.1912761872316133,0.0,0,10,0.1583661508456312,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,10,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-18,99083.59367710867,1.1915690386567204,0.0,0,10,0.1590241113513455,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,11,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-19,99183.40415828975,1.1918619620734932,0.0,0,10,0.15954688466575884,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,12,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-20,96609.17808394818,1.1921549574996295,0.0,0,10,0.1615313398116247,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,13,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-23,97037.91053741274,1.1924480249528315,0.0,0,10,0.1622479674470099,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,14,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-24,93800.96772162711,1.1927411644508055,0.0,0,10,0.16367137849325472,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,15,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-25,94491.81392753159,1.1930343760112623,0.0,0,10,0.16497124980535566,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,16,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-26,95659.48276802721,1.193327659651917,0.0,0,10,0.166906024040948,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,17,0,0,1,0,0,0,0,0,3334.188599739967,4,15
2018-07-27,93240.7516066944,1.193621015390489,14458.643543223001,0,9,0.17636645060912762,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,1,18,0,0,0,0,0,1,1,1,3334.188599739967,4,15
2018-07-30,92081.88723075556,0.06289465474085704,50508.779204375816,0,6,0.15005865790275488,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,1,2,18,6,1,0,0,0,1,1,1,3334.188599739967,4,15
2018-07-31,91805.89703112986,50521.25868768376,0.0,0,6,0.1554341265438806,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,19,6,1,0,0,0,1,1,1,3334.188599739967,4,15
2018-08-01,92364.17005901028,50533.67832870695,0.0,0,6,0.1553686984592075,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,20,6,1,0,0,0,1,1,1,3334.188599739967,4,15
2018-08-02,93330.10009395881,50546.10102285049,0.0,0,6,0.1574611795502037,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,21,6,1,0,0,0,1,1,1,3334.188599739967,4,15
2018-08-03,92220.8913547966,50558.52677086493,0.0,0,6,0.15591843137632813,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,22,6,1,0,0,0,1,1,1,3334.188599739967,4,15
2018-08-06,92817.47645112546,50570.95557350101,0.0,0,6,0.15296532562244472,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,23,6,1,1,0,0,1,1,1,3334.188599739967,4,15
2018-08-07,93127.0596112163,50583.38743150963,0.0,0,6,0.15375236923592792,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,24,6,1,1,0,0,1,0,1,3334.188599739967,4,15
2018-08-08,92165.56732958913,50595.822345641915,0.0,0,6,0.15919519223411271,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,25,6,1,1,0,0,1,0,1,3334.188599739967,4,15
2018-08-09,92606.85383963886,50608.26031664914,12607.168638584166,0,6,0.16396911682470364,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,26,6,1,1,0,0,2,1,2,3334.188599739967,4,15
2018-08-10,98644.04413353336,63230.96920413336,0.0,0,6,0.21354532302309678,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,27,6,1,1,0,0,2,1,2,3334.188599739967,4,15
2018-08-13,99257.34700973282,63246.51327329281,0.0,0,6,0.21130646741488462,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,28,6,1,1,0,0,2,1,2,3334.188599739967,4,15
2018-08-14,100541.39979989745,63262.061163650775,0.0,0,6,0.2197437366494925,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,29,6,1,1,0,0,2,1,2,3334.188599739967,4,15
2018-08-15,99558.68166174664,63277.61287614663,0.0,0,6,0.2131381582662444,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,30,6,1,1,0,0,2,0,2,3334.188599739967,4,15
2018-08-16,99094.37333399219,63293.16841171997,0.0,0,6,0.21328586599729724,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,31,6,1,1,0,0,2,0,2,3334.188599739967,4,15
2018-08-17,99701.91540342505,63308.727771310616,0.0,0,6,0.21239262771949258,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,2,32,6,1,1,0,0,2,0,2,3334.188599739967,4,15
2018-08-20,99846.87823209273,0.19565687995036823,6484.691431811929,0,8,0.1510972458741417,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,1,3,32,9,2,1,0,0,2,0,2,3334.188599739967,4,15
2018-08-21,101492.98201617421,6486.481268484892,0.0,0,8,0.15362511322338757,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,33,9,2,0,0,0,2,0,2,3334.188599739967,4,15
2018-08-22,103955.88808183577,6488.075840175123,0.0,0,8,0.15685089320928108,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,34,9,2,0,0,0,2,0,2,3334.188599739967,4,15
2018-08-23,106402.76475691827,6489.670803858912,0.0,0,8,0.1633835599499276,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,35,9,2,0,0,0,2,0,2,3334.188599739967,4,15
2018-08-24,108544.9939076712,6491.266159632624,0.0,0,8,0.17283939721769254,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,36,9,2,0,0,0,2,0,2,3334.188599739967,4,15
2018-08-27,108399.8422202478,6492.861907592646,0.0,0,8,0.181563749724017,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,37,9,2,1,0,0,2,0,2,3334.188599739967,4,15
2018-08-28,109894.05466854185,6494.458047835389,14861.153782500001,0,7,0.17981055844740354,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,38,9,2,1,0,0,3,1,3,3334.188599739967,4,15
2018-08-29,110914.03293925681,6496.054580457288,14861.153782500001,0,7,0.1799243090450888,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,39,9,2,1,0,0,3,1,3,3334.188599739967,4,15
2018-08-30,111764.28936999897,21362.45860548915,0.0,0,7,0.17831650999026238,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,40,9,2,1,0,0,3,1,3,3334.188599739967,4,15
2018-08-31,111440.43754458622,21367.710138688137,0.0,0,7,0.17886122740253288,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,41,9,2,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-03,111284.50782268986,21372.962962871527,0.0,0,7,0.17879132885416107,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,42,9,2,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-04,115054.58774199784,21378.217078356687,0.0,0,7,0.1945307960964526,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,43,9,2,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-05,114395.25124585786,21383.472485461058,0.0,0,7,0.19858446789610565,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,44,9,2,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-06,113063.67598027634,21388.729184502157,0.0,0,7,0.19549884937277248,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,45,9,2,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-10,114319.64130032725,21393.98717579758,0.0,0,7,0.20532027556696691,1,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,3,46,9,2,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-11,116607.6981147738,0.0815626230411478,11020.264691463857,0,9,0.15076111336244352,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,1,4,46,10,4,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-12,118249.72287791803,11023.05538580654,0.0,0,9,0.16010320818718293,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,4,47,10,4,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-13,118038.39903674275,11025.76518351203,0.0,0,9,0.15811403875607002,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,4,48,10,4,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-14,120079.50585668531,11028.475647367091,0.0,0,9,0.15979412859094244,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,4,49,10,4,1,0,0,3,0,3,3334.188599739967,4,15
2018-09-17,118345.32899416047,11031.186777535482,0.0,0,9,0.16267612894928832,0,0.00024583,C15_P4,10,15,15,0.15,0.2,0.2,0,4,50,10,4,1,0,0,3,0,3,3334.188599739967,4,15
