variant,split,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct,hard_max_pct,max_weight_cap_param,equity_final,cagr,mdd,sharpe_excess,sharpe_raw,switches,cash_pct,cost_total,avg_tickers,max_concentration_pct,days_out_target_band,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,n_rebalance_days,n_non_rebalance_days,n_rebalance_sells,n_concentration_trims,tempo_regime_defensivo_pct,n_quarantine_entries,quarantine_size_final,phase_offset,cadence
C08_P1,HOLDOUT,10,15,8,15.0,20.0,0.2,577616.92,18.563,-14.099,0.3879,1.1719,31,71.902,5281.68,2.632,23.196,154,31,36,104,102,713,149,35,89.939,151,0,1.0,8
C08_P1,TRAIN,10,15,8,15.0,20.0,0.2,333085.05,31.276,-37.302,0.9958,1.2523,1,31.57,5281.68,5.978,21.151,284,22,28,75,140,975,320,127,78.565,109,3,1.0,8
C08_P2,HOLDOUT,10,15,8,15.0,20.0,0.2,645718.64,25.083,-17.458,0.7737,1.6139,31,71.902,5246.86,2.758,26.165,110,24,43,104,101,714,136,39,53.129,149,0,2.0,8
C08_P2,TRAIN,10,15,8,15.0,20.0,0.2,313223.75,29.463,-39.163,0.9085,1.1539,1,31.57,5246.86,5.926,27.465,344,17,34,76,140,975,296,120,79.103,109,1,2.0,8
C08_P3,HOLDOUT,10,15,8,15.0,20.0,0.2,436960.28,19.611,-16.152,0.3993,1.0482,31,71.902,4365.92,2.54,22.251,167,29,35,93,102,713,138,39,52.393,142,0,3.0,8
C08_P3,TRAIN,10,15,8,15.0,20.0,0.2,244908.24,22.454,-37.184,0.6874,0.9329,1,31.57,4365.92,5.868,26.274,338,23,32,71,139,976,333,121,80.807,113,0,3.0,8
C08_P4,HOLDOUT,10,15,8,15.0,20.0,0.2,366511.3,23.739,-15.149,0.5987,1.279,31,71.902,3544.8,2.383,22.89,146,30,37,103,102,713,138,33,34.356,152,1,4.0,8
C08_P4,TRAIN,10,15,8,15.0,20.0,0.2,184099.55,14.798,-34.373,0.4303,0.6756,1,31.57,3544.8,5.819,22.351,312,23,35,85,139,976,319,126,50.852,129,1,4.0,8
C08_P5,HOLDOUT,10,15,8,15.0,20.0,0.2,491619.49,22.109,-14.639,0.6331,1.5185,31,71.902,4629.2,2.297,26.803,144,47,44,91,102,713,134,36,65.767,148,1,5.0,8
C08_P5,TRAIN,10,15,8,15.0,20.0,0.2,257747.63,23.878,-38.539,0.7299,0.9737,1,31.57,4629.2,5.834,21.027,334,35,37,68,139,976,305,120,48.161,114,2,5.0,8
C08_P6,HOLDOUT,10,15,8,15.0,20.0,0.2,486389.9,20.225,-11.246,0.4787,1.265,31,71.902,4160.05,2.226,25.449,187,42,38,98,102,713,128,30,61.227,153,0,6.0,8
C08_P6,TRAIN,10,15,8,15.0,20.0,0.2,268144.95,24.991,-39.883,0.7697,1.0156,1,31.57,4160.05,5.808,21.254,357,31,32,81,139,976,309,112,78.744,125,4,6.0,8
C08_P7,HOLDOUT,10,15,8,15.0,20.0,0.2,397727.81,20.626,-12.418,0.5021,1.2936,31,71.902,3684.93,2.67,24.649,117,52,41,93,102,713,137,38,89.816,147,1,7.0,8
C08_P7,TRAIN,10,15,8,15.0,20.0,0.2,216919.77,19.138,-40.989,0.5974,0.8579,1,31.57,3684.93,5.934,21.596,260,35,33,71,139,976,323,136,77.848,107,4,7.0,8
C10_P0,HOLDOUT,10,15,10,15.0,20.0,0.2,646295.12,19.635,-14.26,0.4514,1.2507,31,71.902,4581.19,2.337,27.379,180,33,35,88,81,734,106,25,81.718,137,1,0.0,10
C10_P0,TRAIN,10,15,10,15.0,20.0,0.2,362004.52,33.786,-28.191,1.0928,1.355,1,31.57,4581.19,5.883,23.52,329,23,27,67,112,1003,284,95,78.924,102,1,0.0,10
C10_P1,HOLDOUT,10,15,10,15.0,20.0,0.2,536234.89,19.677,-16.665,0.4625,1.2838,31,71.902,4200.79,2.32,27.327,189,30,32,90,81,734,108,25,90.798,134,0,1.0,10
C10_P1,TRAIN,10,15,10,15.0,20.0,0.2,300018.69,28.207,-39.084,0.8907,1.1443,1,31.57,4200.79,5.768,21.979,391,20,26,72,112,1003,260,100,76.682,104,3,1.0,10
C10_P2,HOLDOUT,10,15,10,15.0,20.0,0.2,505787.51,17.961,-13.213,0.3711,1.2152,31,71.902,4029.25,2.395,25.945,167,34,34,96,81,734,106,28,81.84,141,0,2.0,10
C10_P2,TRAIN,10,15,10,15.0,20.0,0.2,296498.62,27.865,-42.256,0.8912,1.1495,1,31.57,4029.25,5.676,21.871,452,25,31,80,112,1003,257,91,78.027,115,1,2.0,10
C10_P3,HOLDOUT,10,15,10,15.0,20.0,0.2,716719.74,27.713,-12.337,0.9007,1.723,31,71.902,5031.34,2.541,26.284,167,32,48,102,81,734,116,21,76.319,155,0,3.0,10
C10_P3,TRAIN,10,15,10,15.0,20.0,0.2,325063.65,30.554,-40.677,0.9666,1.2208,1,31.57,5031.34,5.594,22.401,406,23,43,74,112,1003,268,88,49.327,117,2,3.0,10
C10_P4,HOLDOUT,10,15,10,15.0,20.0,0.2,454312.05,14.432,-17.562,0.161,1.009,31,71.902,4415.9,2.638,24.897,144,43,32,111,81,734,117,22,89.325,154,2,4.0,10
C10_P4,TRAIN,10,15,10,15.0,20.0,0.2,293775.23,27.599,-35.896,0.8598,1.1091,1,31.57,4415.9,5.901,21.24,348,31,27,75,112,1003,279,104,79.013,108,1,4.0,10
C10_P5,HOLDOUT,10,15,10,15.0,20.0,0.2,499732.07,17.442,-17.679,0.3105,1.0103,31,71.902,4526.74,2.585,25.479,185,41,35,101,82,733,127,30,49.202,154,1,5.0,10
C10_P5,TRAIN,10,15,10,15.0,20.0,0.2,297149.13,27.929,-29.219,0.9074,1.1714,1,31.57,4526.74,5.677,23.536,412,28,33,74,111,1004,275,90,76.861,119,2,5.0,10
C10_P6,HOLDOUT,10,15,10,15.0,20.0,0.2,396939.29,18.056,-15.203,0.3568,1.126,31,71.902,3353.68,2.389,28.587,163,30,44,87,82,733,119,21,82.086,129,0,6.0,10
C10_P6,TRAIN,10,15,10,15.0,20.0,0.2,232086.26,20.973,-30.266,0.6754,0.9438,1,31.57,3353.68,5.762,21.876,343,21,38,71,111,1004,283,88,76.771,104,2,6.0,10
C10_P7,HOLDOUT,10,15,10,15.0,20.0,0.2,444426.06,20.596,-15.537,0.5011,1.2939,31,71.902,3729.88,2.72,28.489,110,29,29,90,82,733,134,24,80.123,128,1,7.0,10
C10_P7,TRAIN,10,15,10,15.0,20.0,0.2,242586.25,22.19,-33.083,0.7145,0.9803,1,31.57,3729.88,5.52,22.513,445,19,23,68,111,1004,259,100,77.848,95,2,7.0,10
C10_P8,HOLDOUT,10,15,10,15.0,20.0,0.2,374661.57,15.251,-12.89,0.2067,0.9987,31,71.902,3352.19,2.413,24.151,149,37,43,95,82,733,109,25,82.822,148,1,8.0,10
C10_P8,TRAIN,10,15,10,15.0,20.0,0.2,236751.89,21.519,-31.014,0.6764,0.934,1,31.57,3352.19,5.44,27.514,464,29,33,76,111,1004,257,94,81.435,114,2,8.0,10
C10_P9,HOLDOUT,10,15,10,15.0,20.0,0.2,530854.09,22.356,-14.2,0.6197,1.4566,31,71.902,4014.82,2.413,27.378,164,44,30,89,82,733,120,23,51.534,141,0,9.0,10
C10_P9,TRAIN,10,15,10,15.0,20.0,0.2,276509.75,25.862,-30.019,0.8389,1.1034,1,31.57,4014.82,5.754,21.686,397,31,24,71,111,1004,269,103,78.117,109,1,9.0,10
C15_P0,HOLDOUT,10,15,15,15.0,20.0,0.2,512497.67,17.189,-23.407,0.3043,1.0361,31,71.902,3157.38,1.692,22.401,197,48,26,76,54,761,58,16,63.804,116,0,0.0,15
C15_P0,TRAIN,10,15,15,15.0,20.0,0.2,306871.78,28.878,-30.016,1.0065,1.2956,1,31.57,3157.38,5.676,24.104,384,44,24,60,75,1040,224,57,79.013,96,1,0.0,15
C15_P1,HOLDOUT,10,15,15,15.0,20.0,0.2,496054.22,10.878,-27.041,-0.0297,0.7072,31,71.902,3429.75,1.984,24.494,225,40,31,66,54,761,67,16,35.092,111,0,1.0,15
C15_P1,TRAIN,10,15,15,15.0,20.0,0.2,355177.49,33.197,-30.727,1.1804,1.4757,1,31.57,3429.75,5.599,24.999,468,34,27,49,75,1040,216,66,45.112,87,1,1.0,15
C15_P2,HOLDOUT,10,15,15,15.0,20.0,0.2,536421.87,16.285,-15.407,0.2581,0.9906,31,71.902,3431.11,2.433,21.638,198,32,48,77,54,761,80,17,55.583,116,0,2.0,15
C15_P2,TRAIN,10,15,15,15.0,20.0,0.2,329334.99,30.94,-31.917,1.1269,1.4314,1,31.57,3431.11,5.733,22.533,402,23,44,54,75,1040,218,58,80.269,86,3,2.0,15
C15_P3,HOLDOUT,10,15,15,15.0,20.0,0.2,556516.0,25.895,-18.262,0.6921,1.3704,31,71.902,3634.47,2.952,23.639,150,39,37,88,54,761,95,20,81.963,129,1,3.0,15
C15_P3,TRAIN,10,15,15,15.0,20.0,0.2,264368.44,24.59,-33.376,0.8592,1.1531,1,31.57,3634.47,5.396,28.101,490,27,32,64,75,1040,204,54,80.269,94,0,3.0,15
C15_P4,HOLDOUT,10,15,15,15.0,20.0,0.2,568366.22,28.162,-13.181,0.8687,1.632,31,71.902,3334.19,2.807,26.253,154,37,31,85,54,761,85,16,65.767,138,1,4.0,15
C15_P4,TRAIN,10,15,15,15.0,20.0,0.2,254877.29,23.564,-38.166,0.7911,1.0706,1,31.57,3334.19,5.654,27.926,404,22,25,55,75,1040,212,55,48.072,93,1,4.0,15
C15_P5,HOLDOUT,10,15,15,15.0,20.0,0.2,799907.25,33.423,-12.675,1.0902,1.8291,31,71.902,3863.29,2.714,33.313,173,31,41,78,55,760,94,14,34.479,123,0,5.0,15
C15_P5,TRAIN,10,15,15,15.0,20.0,0.2,314993.29,29.628,-37.626,0.9818,1.2519,1,31.57,3863.29,5.577,27.717,428,19,35,61,74,1041,213,62,48.61,93,1,5.0,15
