date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,phase_offset,cadence
2018-07-16,C08_P1,D1VN34,rebalance_sell,,,1.0,60,10230.907173615002,2.5583663850000002,2018-07-17,1,,,,1,8
2018-07-16,C08_P1,N1TA34,rebalance_sell,,,1.0,48,15153.128290619998,3.789229379999999,2018-07-17,1,,,,1,8
2018-07-16,C08_P1,NFLX34,rebalance_sell,,,1.0,4934,15242.364819365135,3.811544090864,2018-07-17,1,,,,1,8
2018-07-16,C08_P1,A1MD34,concentration_trim,,,,112,895.2718740629999,0.223873937,2018-07-17,1,0.15864723031420844,0.2,896.0106000565647,1,8
2018-07-25,C08_P1,N1TA34,defensive_sell,6.0,-2.924714306656562,1.0,1,302.15548224,0.07555776,2018-07-26,0,,,,1,8
2018-07-26,C08_P1,L1UL34,rebalance_sell,,,1.0,122,14137.427022934125,3.535240565875,2018-07-27,1,,,,1,8
2018-07-26,C08_P1,NFLX34,rebalance_sell,,,1.0,1,2.7038360459564994,0.0006761280435,2018-07-27,1,,,,1,8
2018-07-26,C08_P1,O1KE34,rebalance_sell,,,1.0,1,132.719485331625,0.03318816837500001,2018-07-27,1,,,,1,8
2018-07-27,C08_P1,M1TA34,defensive_sell,6.0,-6.795474973015935,1.0,656,15223.855390709141,3.806915576571428,2018-07-30,0,,,,1,8
2018-07-27,C08_P1,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,44,14458.643543223001,3.6155647770000003,2018-07-30,0,,,,1,8
2018-07-30,C08_P1,D1EX34,defensive_sell,6.0,-2.820958641086021,1.0,5428,9414.969060452177,2.3543308478250005,2018-07-31,0,,,,1,8
2018-08-07,C08_P1,AMZO34,rebalance_sell,,,1.0,1,17.278562439210003,0.00432072079,2018-08-08,1,,,,1,8
2018-08-07,C08_P1,L1UL34,rebalance_sell,,,1.0,1,116.50282800975,0.029132990250000004,2018-08-08,1,,,,1,8
2018-08-07,C08_P1,M1TA34,rebalance_sell,,,1.0,1,24.36054969680357,0.006091660339285715,2018-08-08,1,,,,1,8
2018-08-07,C08_P1,ORLY34,rebalance_sell,,,1.0,6,1.511500432851,0.00037796960061290324,2018-08-08,1,,,,1,8
2018-08-07,C08_P1,A1MD34,concentration_trim,,,,277,2513.2437589432498,0.62846805675,2018-08-08,1,0.17496460371615136,0.2,2517.2953324987266,1,8
2018-08-09,C08_P1,A2XO34,defensive_sell,6.0,-3.8303798830831393,1.0,1027,12870.340150920418,3.218389635138889,2018-08-10,0,,,,1,8
2018-08-17,C08_P1,A1LG34,rebalance_sell,,,1.0,43,15125.434123393125,3.7823041068750003,2018-08-20,1,,,,1,8
2018-08-17,C08_P1,ORLY34,rebalance_sell,,,1.0,9,2.51487591325425,0.0006288761973629031,2018-08-20,1,,,,1,8
2018-08-17,C08_P1,T2TD34,rebalance_sell,,,1.0,45208,22361.754636013844,5.591836618158001,2018-08-20,1,,,,1,8
2018-08-28,C08_P1,EMAE4,defensive_sell,6.0,-3.003512469018035,1.0,1046,15048.177015000001,3.762985,2018-08-30,0,,,,1,8
2018-08-29,C08_P1,A1LG34,rebalance_sell,,,1.0,1,398.3675529575625,0.0996167924375,2018-08-30,1,,,,1,8
2018-08-29,C08_P1,H1CA34,rebalance_sell,,,1.0,350,9559.560319798125,2.390487701875,2018-08-30,1,,,,1,8
2018-08-29,C08_P1,ORLY34,rebalance_sell,,,1.0,1,0.29586275745975,7.398418541129031e-05,2018-08-30,1,,,,1,8
2018-08-29,C08_P1,A1MD34,concentration_trim,,,,326,4245.4779351075,1.0616348925,2018-08-30,1,0.18554897404190998,0.2,4255.106873428609,1,8
2018-09-11,C08_P1,EMAE4,rebalance_sell,,,1.0,1,14.256435,0.003565,2018-09-13,1,,,,1,8
2018-09-11,C08_P1,A1MD34,concentration_trim,,,,184,2882.0857283925006,0.7207016075000001,2018-09-12,1,0.17312321916301454,0.2,2885.7247325066637,1,8
2018-09-21,C08_P1,D1EX34,rebalance_sell,,,1.0,6104,17335.773884772003,4.335027228000001,2018-09-24,1,,,,1,8
2018-09-21,C08_P1,ORLY34,rebalance_sell,,,1.0,43,12.971828605842001,0.003243768093483871,2018-09-24,1,,,,1,8
2018-09-21,C08_P1,REGN34,rebalance_sell,,,1.0,624,16527.0040094016,4.1327841983999996,2018-09-24,1,,,,1,8
