date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,phase_offset,cadence
2018-07-02,100024.58299999998,100024.58299999998,0.0,0,0,0.0,1,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,0,1,0,0,0,0,0,0,0,0,3429.7521891675656,1,15
2018-07-03,99999.58367437503,1.1503199750313569,0.0,0,10,0.15003722464341318,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,1,1,1,0,0,0,0,0,0,0,0,3429.7521891675656,1,15
2018-07-04,100354.15188631821,1.1506027581908187,0.0,0,10,0.1500372303186469,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,2,0,0,0,0,0,0,0,0,3429.7521891675656,1,15
2018-07-05,101927.35023481488,1.1508856108668646,0.0,0,10,0.15316922459019672,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,3,0,0,0,0,0,0,0,0,3429.7521891675656,1,15
2018-07-06,104638.59204637309,1.151168533076584,0.0,0,10,0.15776805674797126,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,4,0,0,0,0,0,0,0,0,3429.7521891675656,1,15
2018-07-10,103106.86091182285,1.15145152483707,0.0,0,10,0.15862165985236235,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,5,0,0,0,0,0,0,0,0,3429.7521891675656,1,15
2018-07-11,102086.51805964418,1.1517345861654207,0.0,0,10,0.1573532555358073,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,6,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-12,104086.69140378907,1.1520177170787376,0.0,0,10,0.15768134875504874,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,7,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-13,103837.52802548508,1.152300917594127,0.0,0,10,0.1560206205123046,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,8,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-16,103628.37791608223,1.152584187728699,0.0,0,10,0.1586316770036873,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,9,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-17,104319.44741751502,1.1528675274995683,0.0,0,10,0.1607194104652149,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,10,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-18,103535.88284590894,1.1531509369238535,0.0,0,10,0.16091979777480916,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,11,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-19,103802.40613428355,1.1534344160186774,0.0,0,10,0.16071619368262485,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,12,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-20,101080.7436753598,1.153717964801167,0.0,0,10,0.15854772202182213,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,13,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-23,101100.2312732533,1.154001583288454,0.0,0,10,0.16057097026933057,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,14,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-24,97584.58098284647,1.1542852714976737,0.0,0,10,0.16090098203127007,0,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,1,15,0,0,1,0,0,0,0,0,3429.7521891675656,1,15
2018-07-25,98501.99144016413,0.11684764733517078,53999.53275379679,0,6,0.15106159076021222,1,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,1,2,15,4,2,1,0,0,1,1,1,3429.7521891675656,1,15
2018-07-26,99998.60279681862,54012.92433530564,0.0,0,6,0.16957323981395145,1,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,2,16,4,2,1,0,0,1,1,1,3429.7521891675656,1,15
2018-07-27,99573.36768014148,54026.20233249498,13801.4324730765,0,5,0.17540006682412518,1,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,2,17,4,2,0,0,0,2,1,2,3429.7521891675656,1,15
2018-07-30,99469.05757428073,67844.30887303573,0.0,0,5,0.17999026323216336,1,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,2,18,4,2,0,0,0,2,1,2,3429.7521891675656,1,15
2018-07-31,98544.60271464297,67860.98703948598,0.0,0,5,0.17329998356254342,1,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,2,19,4,2,1,0,0,2,1,2,3429.7521891675656,1,15
2018-08-01,99048.10467434338,67877.66930592989,0.0,0,5,0.1735614804697318,1,0.00024583,C15_P1,10,15,15,0.15,0.2,0.2,0,2,20,4,2,1,0,0,2,1,2,3429.7521891675656,1,15
