date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,phase_offset,cadence
2018-07-19,C08_P4,C1MG34,rebalance_sell,,,1.0,2,3.5328727629495003,0.0008834390505000001,2018-07-20,1,,,,4,8
2018-07-19,C08_P4,D1VN34,rebalance_sell,,,1.0,57,9771.384049123502,2.4434568765000004,2018-07-20,1,,,,4,8
2018-07-19,C08_P4,NFLX34,rebalance_sell,,,1.0,4682,13246.038629542181,3.312337741821001,2018-07-20,1,,,,4,8
2018-07-19,C08_P4,O1KE34,rebalance_sell,,,1.0,1,136.7849292165,0.034204783499999995,2018-07-20,1,,,,4,8
2018-07-19,C08_P4,A1LG34,concentration_trim,,,,2,719.1112292370001,0.17982276300000002,2018-07-20,1,0.15955620092195777,0.2,947.7611966211807,4,8
2018-07-19,C08_P4,A1MD34,concentration_trim,,,,35,283.9248504126562,0.07099896234375,2018-07-20,1,0.15291158354739295,0.2,288.76338266063067,4,8
2018-07-19,C08_P4,D1EX34,concentration_trim,,,,256,509.74406875584003,0.12746788416000002,2018-07-20,1,0.1551539918554319,0.2,511.1593168199852,4,8
2018-07-19,C08_P4,T2TD34,concentration_trim,,,,240,88.26938873460001,0.022072865400000006,2018-07-20,1,0.15089183426465236,0.2,88.44965617261005,4,8
2018-07-23,C08_P4,ORLY34,defensive_sell,5.0,-1.7914777335092882,0.5,2,0.48833805302249994,0.00012211504201612903,2018-07-24,0,,,,4,8
2018-07-27,C08_P4,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,42,13801.4324730765,3.4512209235,2018-07-30,0,,,,4,8
2018-07-31,C08_P4,D1EX34,rebalance_sell,,,1.0,7470,13338.220452989513,3.3353889604875,2018-08-01,1,,,,4,8
2018-07-31,C08_P4,L1UL34,rebalance_sell,,,1.0,118,13283.485820619377,3.3217018806250005,2018-08-01,1,,,,4,8
