date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,phase_offset,cadence
2018-07-02,99975.0070167183,1.5500597082655938,0.0,0,9,0.1500295522309067,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,1,1,0,0,0,0,0,0,0,0,0,4195.713230946198,0,8
2018-07-03,98332.97745611944,1.5504407594436767,0.0,0,9,0.15117565606750463,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,1,1,0,0,0,0,0,0,0,0,4195.713230946198,0,8
2018-07-04,98681.63500396832,1.5508219042955704,0.0,0,9,0.15117566390544795,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,1,2,0,0,0,0,0,0,0,0,4195.713230946198,0,8
2018-07-05,100220.80615025484,1.5512031428443032,0.0,0,9,0.153504349954392,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,1,3,0,0,0,0,0,0,0,0,4195.713230946198,0,8
2018-07-06,102890.16634399511,1.5515844751129084,0.0,0,9,0.15810784709601572,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,1,4,0,0,0,0,0,0,0,0,4195.713230946198,0,8
2018-07-10,101393.06359502513,1.5519659011244253,0.0,0,9,0.15894912456112778,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,1,5,0,0,0,0,0,0,0,0,4195.713230946198,0,8
2018-07-11,100384.2805363409,1.5523474209018986,0.0,0,9,0.1576865835684256,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,1,6,0,0,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-12,102349.22867063446,1.5527290344683788,0.0,0,9,0.15801826411458134,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,1,7,0,0,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-13,102107.86013176151,0.09340552527532563,16374.308034341251,0,8,0.15170288805397936,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,1,2,7,1,2,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-16,102127.26788259349,16378.426758972486,0.0,0,8,0.15219488338676276,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,2,8,1,2,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-17,102652.33855172964,16382.453067622642,0.0,0,8,0.15443221883358535,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,2,9,1,2,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-18,102004.87728015627,16386.480366060256,0.0,0,8,0.1544698729524893,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,2,10,1,2,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-19,102106.77376120765,16390.508654528643,0.0,0,8,0.15497897505808766,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,2,11,1,2,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-20,99932.92020712119,16394.537933271185,0.0,0,8,0.1561588507736609,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,2,12,1,2,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-23,100018.17371057133,16398.568202531318,0.0,0,8,0.15741342963889704,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,2,13,1,2,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-24,97292.23375455453,16402.599462552545,0.0,0,8,0.15779814172764126,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,2,14,1,2,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-25,97822.33708849174,5.8775368005654824,37640.53134252288,0,10,0.1521111431486187,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,1,3,14,4,3,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-26,98982.37587996136,37655.66349601825,0.0,0,10,0.17001963942206164,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,3,15,4,3,1,0,0,0,0,0,4195.713230946198,0,8
2018-07-27,97768.16580838544,37664.92038777547,15031.408594581964,0,8,0.17728875801936503,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,3,16,4,3,1,0,0,2,2,2,4195.713230946198,0,8
2018-07-30,97201.47212178842,52709.283320911156,6.938075947275,0,7,0.18279734683686066,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,3,17,4,3,1,0,0,3,3,3,4195.713230946198,0,8
2018-07-31,96735.48653689647,52729.18062556442,2.5335484644974997,0,6,0.17520692165832527,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,3,18,4,3,1,0,0,4,3,4,4195.713230946198,0,8
2018-08-01,97298.95144773198,52744.67721132431,0.0,0,6,0.1753464874610187,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,3,19,4,3,1,0,0,4,3,4,4195.713230946198,0,8
2018-08-02,98319.25358418483,52757.64343532317,0.0,0,6,0.17716247869839255,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,3,20,4,3,0,0,0,4,0,4,4195.713230946198,0,8
2018-08-03,97133.17610437519,52770.612846808865,0.0,0,6,0.1743814059786216,1,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,3,21,4,3,0,0,0,4,0,4,4195.713230946198,0,8
2018-08-06,97893.44006526752,0.08133392035686837,3314.222267742375,0,10,0.15003374226564795,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,1,4,21,6,4,1,0,0,4,0,4,4195.713230946198,0,8
2018-08-07,98041.38749122995,3315.1183569171285,0.0,0,10,0.15105475157047077,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,4,22,6,4,1,0,0,4,0,4,4195.713230946198,0,8
2018-08-08,96818.41779467762,3315.933312462809,0.0,0,10,0.1567425109113717,0,0.00024583,C08_P0,10,15,8,0.15,0.2,0.2,0,4,23,6,4,1,0,0,4,0,4,4195.713230946198,0,8
