date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,phase_offset,cadence
2018-07-27,C15_P13,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,42,13801.4324730765,3.4512209235,2018-07-30,0,,,,13,15
2018-08-09,C15_P13,A2XO34,defensive_sell,6.0,-3.8303798830831393,1.0,970,12156.017474579166,3.039764309722222,2018-08-10,0,,,,13,15
2018-08-10,C15_P13,M2PR34,rebalance_sell,,,1.0,1,8.9373754974,0.0022349025999999998,2018-08-13,1,,,,13,15
2018-08-10,C15_P13,ORLY34,rebalance_sell,,,1.0,62260,16424.87265416844,4.107244974785806,2018-08-13,1,,,,13,15
2018-08-10,C15_P13,T2TD34,rebalance_sell,,,1.0,40913,20131.211084961436,5.034061286561999,2018-08-13,1,,,,13,15
2018-08-10,C15_P13,A1MD34,concentration_trim,,,,139,1273.7490890984998,0.31851690149999995,2018-08-13,1,0.16168312684868275,0.2,1278.2899511018622,13,15
2018-08-10,C15_P13,D1EX34,concentration_trim,,,,871,2066.15781397935,0.51666862065,2018-08-13,1,0.1688926875389173,0.2,2067.1060614370836,13,15
2018-08-31,C15_P13,A1LG34,rebalance_sell,,,1.0,27,10785.504604336313,2.6970504136875,2018-09-03,1,,,,13,15
2018-08-31,C15_P13,F2IC34,rebalance_sell,,,1.0,1,21.220728913366667,0.005306508855555556,2018-09-03,1,,,,13,15
2018-08-31,C15_P13,L1UL34,rebalance_sell,,,1.0,85,13611.08949297094,3.4036232790625003,2018-09-03,1,,,,13,15
2018-08-31,C15_P13,ORLY34,rebalance_sell,,,1.0,54,16.1037695994435,0.004026949137145161,2018-09-03,1,,,,13,15
2018-08-31,C15_P13,A1MD34,concentration_trim,,,,329,4279.446099567845,1.0701290571562503,2018-09-03,1,0.18383170210479174,0.2,4288.439381434549,13,15
2018-08-31,C15_P13,D1EX34,concentration_trim,,,,547,1632.5361331976776,0.4082360923225001,2018-09-03,1,0.1629033734557949,0.2,1635.5921896081236,13,15
2018-09-24,C15_P13,D1EX34,rebalance_sell,,,1.0,6369,18364.900991958675,4.5923733413250005,2018-09-25,1,,,,13,15
2018-09-24,C15_P13,ORLY34,rebalance_sell,,,1.0,1,0.29940409155000003,7.486974032258065e-05,2018-09-25,1,,,,13,15
2018-09-24,C15_P13,REGN34,rebalance_sell,,,1.0,678,17894.01670896705,4.47462283295,2018-09-25,1,,,,13,15
2018-09-24,C15_P13,T1CH34,rebalance_sell,,,1.0,1,6.7717538215375,0.0016933617958333335,2018-09-25,1,,,,13,15
2018-09-24,C15_P13,T2TD34,rebalance_sell,,,1.0,32406,18325.443504673207,4.5825065027940015,2018-09-25,1,,,,13,15
2018-09-24,C15_P13,W1BD34,rebalance_sell,,,1.0,10,1295.0307013650004,0.3238386350000001,2018-09-25,1,,,,13,15
2018-09-24,C15_P13,A1MD34,concentration_trim,,,,289,4780.9248231616875,1.1955300883125002,2018-09-25,1,0.18702064838005197,0.2,4788.775683399876,13,15
2018-10-03,C15_P13,A1MD34,defensive_sell,6.0,-2.7221354885926874,1.0,1173,16062.403987101938,4.0166051480625,2018-10-04,0,,,,13,15
2018-10-11,C15_P13,INBR32,defensive_sell,4.0,-1.0379485691632124,0.25,409,5888.127600000001,1.4724000000000002,2018-10-16,0,,,,13,15
2018-10-15,C15_P13,LILY34,defensive_sell,6.0,-3.307889298748635,1.0,1303,17932.0311695754,4.4841288246,2018-10-16,0,,,,13,15
2018-10-16,C15_P13,D1EX34,rebalance_sell,,,1.0,1,2.4688440346499996,0.0006173653499999999,2018-10-17,1,,,,13,15
2018-10-16,C15_P13,H1CA34,rebalance_sell,,,1.0,4,100.4589689775,0.025121022500000003,2018-10-17,1,,,,13,15
2018-10-16,C15_P13,ORLY34,rebalance_sell,,,1.0,10,2.7684272449575,0.0006922798812096775,2018-10-17,1,,,,13,15
2018-10-16,C15_P13,P1YC34,rebalance_sell,,,1.0,530,8910.5499128065,2.2281945268333336,2018-10-17,1,,,,13,15
2018-10-25,C15_P13,ORLY34,defensive_sell,6.0,-3.3616565637624527,1.0,12,3.0993313494060004,0.0007750265940000001,2018-10-26,0,,,,13,15
2018-10-26,C15_P13,A1MD34,defensive_sell,6.0,-3.419251064527268,1.0,330,2672.1477797540624,0.6682039959374999,2018-10-29,0,,,,13,15
2018-10-30,C15_P13,CMIG3,defensive_sell,4.0,-1.8168435876207956,0.25,597,5096.210128875001,1.274371125,2018-11-01,0,,,,13,15
