date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,split_factor,ratio_applied,shares_before,shares_after,buy_price_before,buy_price_after,phase_offset,cadence
2018-07-18,C10_P6,FHER3,defensive_sell,5.0,-1.5757410198384585,0.5,89.0,5979.3048,1.4952,2018-07-20,0.0,,,,,,,,,,6,10
2018-07-25,C10_P6,E2NP34,rebalance_sell,,,1.0,1.0,0.9619098624000002,0.00024053760000000005,2018-07-26,1.0,,,,,,,,,,6,10
2018-07-25,C10_P6,FHER3,rebalance_sell,,,1.0,91.0,6277.43025,1.56975,2018-07-27,1.0,,,,,,,,,,6,10
2018-07-25,C10_P6,INTU34,rebalance_sell,,,1.0,1.0,18.323418,0.004582,2018-07-26,1.0,,,,,,,,,,6,10
2018-07-25,C10_P6,NFLX34,rebalance_sell,,,1.0,4668.0,12572.200199831042,3.1438360089600006,2018-07-26,1.0,,,,,,,,,,6,10
2018-07-25,C10_P6,A1MD34,concentration_trim,,,,8.0,59.5627056,0.014894400000000002,2018-07-26,1.0,0.1506421800074081,0.2,61.017806245870815,,,,,,,6,10
2018-07-25,C10_P6,A2XO34,concentration_trim,,,,102.0,1532.8335491199998,0.3833042133333333,2018-07-26,1.0,0.16626712530519103,0.2,1545.6478448503149,,,,,,,6,10
2018-07-25,C10_P6,D1EX34,concentration_trim,,,,208.0,400.27028820479995,0.1000925952,2018-07-26,1.0,0.154225592465215,0.2,401.50004483787234,,,,,,,6,10
2018-07-25,C10_P6,T2TD34,concentration_trim,,,,1438.0,497.04361586304003,0.12429197696000002,2018-07-26,1.0,0.1552343692433728,0.2,497.34973008715315,,,,,,,6,10
2018-07-27,C10_P6,M1TA34,defensive_sell,6.0,-6.795474973015935,1.0,83.0,1926.1890204708213,0.48166767203571426,2018-07-30,0.0,,,,,,,,,,6,10
2018-07-27,C10_P6,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,39.0,12815.61586785675,3.20470514325,2018-07-30,0.0,,,,,,,,,,6,10
2018-07-30,C10_P6,D1EX34,defensive_sell,6.0,-2.820958641086021,1.0,7405.0,12844.113097392845,3.2118312321562503,2018-07-31,0.0,,,,,,,,,,6,10
2018-07-31,C10_P6,NFLX34,defensive_sell,6.0,-2.608827691318022,1.0,1.0,2.5335484644974997,0.0006335455025,2018-08-01,0.0,,,,,,,,,,6,10
2018-08-08,C10_P6,A2XO34,rebalance_sell,,,1.0,948.0,11809.578852336997,2.953132996333333,2018-08-09,1.0,,,,,,,,,,6,10
