date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,split_factor,ratio_applied,shares_before,shares_after,buy_price_before,buy_price_after,phase_offset,cadence
2018-07-11,C05_P1,N1TA34,rebalance_sell,,,1.0,49.0,14978.538675938249,3.7455710617499998,2018-07-12,1.0,,,,,,,,,,1,5
2018-07-11,C05_P1,A1MD34,concentration_trim,,,,96.0,749.865994623,0.187513377,2018-07-12,1.0,0.15735902950068206,0.2,751.2301321718369,,,,,,,1,5
2018-07-11,C05_P1,NFLX34,concentration_trim,,,,174.0,559.558116829665,0.139924510335,2018-07-12,1.0,0.1555034533679046,0.2,561.8067445283887,,,,,,,1,5
2018-07-18,C05_P1,NFLX34,rebalance_sell,,,1.0,4761.0,13739.430376040858,3.435716523141,2018-07-19,1.0,,,,,,,,,,1,5
2018-07-18,C05_P1,O1KE34,rebalance_sell,,,1.0,1.0,134.87535372974997,0.03372727025,2018-07-19,1.0,,,,,,,,,,1,5
2018-07-18,C05_P1,A1LG34,concentration_trim,,,,1.0,358.016846906625,0.089526593375,2018-07-19,1.0,0.156372226620472,0.2,656.6835792855491,,,,,,,1,5
2018-07-18,C05_P1,A1MD34,concentration_trim,,,,52.0,421.28113837875003,0.10534662125000001,2018-07-19,1.0,0.15412346469997723,0.2,424.9392507745615,,,,,,,1,5
2018-07-23,C05_P1,ORLY34,defensive_sell,5.0,-1.7914777335092882,0.5,3.0,0.7325070795337499,0.00018317256302419354,2018-07-24,0.0,,,,,,,,,,1,5
2018-07-25,C05_P1,D1VN34,rebalance_sell,,,1.0,59.0,9912.013536960001,2.4786230400000004,2018-07-26,1.0,,,,,,,,,,1,5
2018-07-25,C05_P1,FHER3,rebalance_sell,,,1.0,12.0,827.793,0.20700000000000002,2018-07-27,1.0,,,,,,,,,,1,5
2018-07-25,C05_P1,L1UL34,rebalance_sell,,,1.0,123.0,14267.856463920001,3.5678560800000008,2018-07-26,1.0,,,,,,,,,,1,5
2018-07-25,C05_P1,A1LG34,concentration_trim,,,,1.0,354.19398936,0.08857064,2018-07-26,1.0,0.15660355274468335,0.2,657.3224894393625,,,,,,,1,5
2018-07-25,C05_P1,A2XO34,concentration_trim,,,,16.0,240.4444782933333,0.06012615111111111,2018-07-26,1.0,0.15251913465760822,0.2,250.75629059091807,,,,,,,1,5
2018-07-27,C05_P1,M1TA34,defensive_sell,6.0,-6.795474973015935,1.0,483.0,11209.027673342249,2.80295765775,2018-07-30,0.0,,,,,,,,,,1,5
2018-07-27,C05_P1,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,42.0,13801.4324730765,3.4512209235,2018-07-30,0.0,,,,,,,,,,1,5
2018-07-30,C05_P1,D1EX34,defensive_sell,6.0,-2.820958641086021,1.0,26.0,45.0974936572875,0.011277192712500002,2018-07-31,0.0,,,,,,,,,,1,5
2018-08-01,C05_P1,AMZO34,rebalance_sell,,,1.0,1.0,16.840214011220628,0.004211106279375001,2018-08-02,1.0,,,,,,,,,,1,5
2018-08-01,C05_P1,D1EX34,rebalance_sell,,,1.0,1.0,1.7886232523699999,0.00044726763,2018-08-02,1.0,,,,,,,,,,1,5
2018-08-01,C05_P1,D1VN34,rebalance_sell,,,1.0,1.0,162.93263365575,0.04074334425,2018-08-02,1.0,,,,,,,,,,1,5
2018-08-01,C05_P1,ORLY34,rebalance_sell,,,1.0,2.0,0.4879866050999999,0.00012202715806451611,2018-08-02,1.0,,,,,,,,,,1,5
2018-08-01,C05_P1,A1MD34,concentration_trim,,,,331.0,2865.8827011622498,0.71664983775,2018-08-02,1.0,0.17976749139901171,0.2,2873.8745101718578,,,,,,,1,5
2018-08-08,C05_P1,A2XO34,rebalance_sell,,,1.0,1015.0,12644.222083462084,3.1618459823611107,2018-08-09,1.0,,,,,,,,,,1,5
2018-08-08,C05_P1,ORLY34,rebalance_sell,,,1.0,1.0,0.25655007266925,6.415355655645162e-05,2018-08-09,1.0,,,,,,,,,,1,5
2018-08-08,C05_P1,T2ER34,rebalance_sell,,,1.0,1.0,9.154431208791665,0.002289180097222222,2018-08-09,1.0,,,,,,,,,,1,5
2018-08-08,C05_P1,A1MD34,concentration_trim,,,,79.0,725.2578849388125,0.1813598111875,2018-08-09,1.0,0.15744065337789787,0.2,726.0459145724344,,,,,,,1,5
2018-08-08,C05_P1,H1CA34,concentration_trim,,,,11.0,264.7072655852625,0.06619336473750001,2018-08-09,1.0,0.1529400570901855,0.2,286.88508429411377,,,,,,,1,5
2018-08-08,C05_P1,LILY34,concentration_trim,,,,29.0,370.82385675352504,0.09272914647500001,2018-08-09,1.0,0.15388434556052522,0.2,379.0266696988274,,,,,,,1,5
