date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,target_pct,hard_max_pct,offensive_sell_enabled,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,off_sell_25_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2018-07-02,99975.00644112982,0.3887695198197121,0.0,0,10,0.12002364247574032,0,0.00024583,V3,15,0.12,0.15,1,0,0,0,0,0,0,0,13206.088152460223
2018-07-03,98649.87491626637,0.03451746016148363,1.9089378462,0,9,0.12171875565166153,0,0.00024583,V3,15,0.12,0.15,1,0,0,0,0,0,0,0,13206.088152460223
2018-07-04,98999.62007166266,0.16591279793055647,135.36070836074998,0,9,0.12151424410812856,0,0.00024583,V3,15,0.12,0.15,1,0,0,0,0,0,0,0,13206.088152460223
2018-07-05,100467.34034680093,0.2395502557348723,4478.793792817185,0,8,0.12251725194984661,1,0.00024583,V3,15,0.12,0.15,1,0,0,0,0,0,0,0,13206.088152460223
2018-07-06,102842.49375748502,0.9977415330395336,674.3083727520001,0,9,0.12023413131500467,0,0.00024583,V3,15,0.12,0.15,1,0,0,0,0,0,0,0,13206.088152460223
2018-07-10,101360.21852011552,0.09940709124587822,218.64303662423703,0,9,0.12111822783376935,0,0.00024583,V3,15,0.12,0.15,1,0,0,0,0,0,0,0,13206.088152460223
2018-07-11,100374.48348801253,6.874175803018526,11812.176511436497,0,10,0.12017282173552173,0,0.00024583,V3,15,0.12,0.15,1,1,0,0,0,0,0,0,13206.088152460223
2018-07-12,101821.48802245145,0.02902513993262793,12205.5582493995,0,10,0.12256706078740659,0,0.00024583,V3,15,0.12,0.15,1,1,0,0,0,0,0,0,13206.088152460223
2018-07-13,98854.69630897856,0.013388151085124735,13243.13523251846,0,10,0.12169261621268443,0,0.00024583,V3,15,0.12,0.15,1,1,0,0,0,0,0,0,13206.088152460223
2018-07-16,101197.1385950917,0.10972282182474806,25741.648168824664,0,8,0.12007424251508789,1,0.00024583,V3,15,0.12,0.15,1,1,0,1,0,0,1,1,13206.088152460223
2018-07-17,102843.95884602655,0.08362644697993256,14307.408824857124,0,9,0.12107990302807277,0,0.00024583,V3,15,0.12,0.15,1,1,0,1,0,0,1,1,13206.088152460223
2018-07-18,102797.27167520544,0.15265174297411238,467.53840357064996,0,9,0.1200594695158317,0,0.00024583,V3,15,0.12,0.15,1,1,0,1,0,0,1,1,13206.088152460223
2018-07-19,103402.25471159576,14.992926833176224,315.3156280475,0,10,0.12002419764877295,0,0.00024583,V3,15,0.12,0.15,1,0,0,1,0,0,1,1,13206.088152460223
2018-07-20,100890.3871488271,143.2216355647487,11967.10059223779,0,10,0.12293566210142344,0,0.00024583,V3,15,0.12,0.15,1,0,0,1,0,0,1,1,13206.088152460223
2018-07-23,101337.66760476782,1.4723467785358537,11952.287884851772,0,10,0.12159267541372018,0,0.00024583,V3,15,0.12,0.15,1,1,0,1,0,0,1,1,13206.088152460223
2018-07-24,98398.23658759981,9.443657582176346,15915.326402385763,0,10,0.1205643708659208,0,0.00024583,V3,15,0.12,0.15,1,1,0,1,0,0,0,1,13206.088152460223
2018-07-25,98803.77637118491,15667.903591091599,290.689197528,0,10,0.12191443973504816,0,0.00024583,V3,15,0.12,0.15,1,1,0,1,0,0,0,1,13206.088152460223
2018-07-26,100152.8002164053,10.188933436509693,12178.822198349166,0,10,0.1357909121423877,0,0.00024583,V3,15,0.12,0.15,1,1,0,1,0,0,0,1,13206.088152460223
2018-07-27,97748.25936848472,0.23622991017647094,29665.64104577285,0,8,0.1200031531055778,1,0.00024583,V3,15,0.12,0.15,1,1,0,1,2,1,2,3,13206.088152460223
2018-07-30,96888.7788085513,15.233373340237204,22684.00013287273,0,10,0.12408896767092784,0,0.00024583,V3,15,0.12,0.15,1,1,0,1,4,1,4,5,13206.088152460223
2018-07-31,97042.16003786436,10847.17407722638,11587.026236005764,0,10,0.12382914730143132,0,0.00024583,V3,15,0.12,0.15,1,1,0,1,5,1,3,6,13206.088152460223
