date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,i_above_ucl,xbar_above_ucl
2018-07-03,V0,D1EX34,rebalance_sell,,,1.0,4,7.6357513848,0.0019094152,2018-07-04,,
2018-07-04,V0,A1MD34,concentration_sell,,,,4,29.286176625000003,0.007323375000000001,2018-07-05,,
2018-07-05,V0,AMZO34,rebalance_sell,,,1.0,2,33.29958210273,0.00832697727,2018-07-06,,
2018-07-05,V0,A1MD34,concentration_sell,,,,42,318.845168775,0.079731225,2018-07-06,,
2018-07-06,V0,A1MD34,concentration_sell,,,,58,465.5938764240001,0.11642757600000002,2018-07-10,,
2018-07-06,V0,NFLX34,concentration_sell,,,,8,25.640832988800003,0.006411811200000001,2018-07-10,,
2018-07-10,V0,A1MD34,concentration_sell,,,,10,79.52768810625001,0.019886893750000002,2018-07-11,,
2018-07-10,V0,NFLX34,concentration_sell,,,,57,182.14702612043402,0.04554814356600001,2018-07-11,,
2018-07-11,V0,C1GP34,rebalance_sell,,,1.0,1,1.6146853247257498,0.00040377227425,2018-07-12,,
2018-07-11,V0,N1TA34,rebalance_sell,,,1.0,48,14672.854213163999,3.669130836,2018-07-12,,
2018-07-11,V0,NFLX34,concentration_sell,,,,76,244.40469470721004,0.06111645279000001,2018-07-12,,
2018-07-12,V0,D1VN34,rebalance_sell,,,1.0,60,10162.15794522,2.5411747800000004,2018-07-13,,
2018-07-12,V0,ORLY34,rebalance_sell,,,1.0,1,0.23622628866,5.907134e-05,2018-07-13,,
2018-07-12,V0,A1LG34,concentration_sell,,,,1,349.70731330949997,0.0874486905,2018-07-13,,
2018-07-13,V0,ORLY34,rebalance_sell,,,1.0,4,0.952973686035,0.0002383029972580645,2018-07-16,,
2018-07-13,V0,A1LG34,concentration_sell,,,,2,703.917489121875,0.176023378125,2018-07-16,,
2018-07-13,V0,A1MD34,concentration_sell,,,,57,449.0342827326562,0.11228664234374999,2018-07-16,,
2018-07-13,V0,T2TD34,concentration_sell,,,,2294,836.516834915895,0.209181504105,2018-07-16,,
2018-07-16,V0,FHER3,defensive_sell,5.0,-2.9515306901626364,0.5,100,8747.8125,2.1875,2018-07-18,,
2018-07-16,V0,FHER3,rebalance_sell,,,1.0,101,8835.290625,2.209375,2018-07-18,,
2018-07-16,V0,NFLX34,rebalance_sell,,,1.0,4680,14457.69504552672,3.61532759328,2018-07-17,,
2018-07-16,V0,ORLY34,rebalance_sell,,,1.0,2,0.4733156625915,0.00011835850527419355,2018-07-17,,
2018-07-17,V0,NFLX34,rebalance_sell,,,1.0,1,2.934240472446,0.0007337435540000001,2018-07-18,,
2018-07-19,V0,A2XO34,concentration_sell,,,,32,504.505004876,0.12615779066666666,2018-07-20,,
2018-07-20,V0,AMZO34,rebalance_sell,,,1.0,52,890.8643615166751,0.22277178332500003,2018-07-23,,
2018-07-20,V0,A2XO34,concentration_sell,,,,6,92.98532085674998,0.023252143249999996,2018-07-23,,
2018-07-23,V0,ORLY34,defensive_sell,5.0,-1.7914777335092882,0.5,16,3.9067044241799995,0.0009769203361290322,2018-07-24,,
2018-07-23,V0,L1UL34,rebalance_sell,,,1.0,123,14613.061737270937,3.6541789790625003,2018-07-24,,
2018-07-23,V0,A2XO34,concentration_sell,,,,12,189.24963242750002,0.04732423916666667,2018-07-24,,
2018-07-24,V0,D1EL34,rebalance_sell,,,1.0,8,782.78425987878,0.19574500122,2018-07-25,,
2018-07-24,V0,L1UL34,rebalance_sell,,,1.0,1,115.13890357612499,0.028791923875,2018-07-25,,
2018-07-24,V0,L1YV34,rebalance_sell,,,1.0,240,9313.274891052,2.328900948,2018-07-25,,
