date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2018-07-02,99975.0070167183,1.5500597082655938,0.0,0,9,0.1500295522309067,0,0.00024583,C2,15,0,0,0,0,0,0,10868.652008197152
2018-07-03,98332.97484418076,0.13305023596653381,7.6357513848,0,8,0.15117566008306038,1,0.00024583,C2,15,0,0,0,0,0,0,10868.652008197152
2018-07-04,98681.60083806848,0.3030262994636281,29.286176625000003,0,8,0.15117571624603168,1,0.00024583,C2,15,0,0,0,0,0,0,10868.652008197152
2018-07-05,100219.82055850637,0.1315537726534089,352.14475087772996,0,7,0.1502482547340176,1,0.00024583,C2,15,0,0,0,0,0,0,10868.652008197152
2018-07-06,102869.09177239226,0.8017692194297125,491.2347094128001,0,8,0.15002785863559,1,0.00024583,C2,15,0,0,0,0,0,0,10868.652008197152
2018-07-10,101366.5805939201,0.028762961402835796,261.67471422668405,0,9,0.15004448459132752,0,0.00024583,C2,15,0,0,0,0,0,0,10868.652008197152
2018-07-11,100360.29447263654,0.019260584013531035,14918.873593195935,0,10,0.1502372648264898,0,0.00024583,C2,15,1,0,0,0,0,0,10868.652008197152
2018-07-12,101868.94192127592,0.12896612575891098,10512.10148481816,0,9,0.15315002103770345,0,0.00024583,C2,15,1,0,0,0,0,0,10868.652008197152
2018-07-13,98153.33323589966,0.1435089387004763,1990.421580456461,0,9,0.15227422519445735,0,0.00024583,C2,15,1,0,0,0,0,0,10868.652008197152
2018-07-16,101122.63938043157,0.08317095591621457,32041.27148618931,0,7,0.149990737234308,1,0.00024583,C2,15,1,0,1,0,1,1,10868.652008197152
2018-07-17,102612.50782262643,0.13587378231332167,17586.037365472446,0,7,0.15075701417282686,1,0.00024583,C2,15,1,0,1,0,1,1,10868.652008197152
2018-07-18,102532.0924781488,0.08556261098889083,0.0,0,9,0.15124555088256775,0,0.00024583,C2,15,1,0,1,0,1,1,10868.652008197152
2018-07-19,103192.18385111316,0.08558364484555021,504.505004876,0,9,0.15006823410847198,0,0.00024583,C2,15,1,0,1,0,1,1,10868.652008197152
2018-07-20,100785.75482530969,0.08155479615551238,983.8496823734251,0,8,0.1532371284104489,1,0.00024583,C2,15,1,0,1,0,0,1,10868.652008197152
2018-07-23,101304.85194673792,0.07144476190745117,14806.218074122617,0,9,0.15255745417579336,0,0.00024583,C2,15,1,0,2,0,1,2,10868.652008197152
