date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2018-07-02,99975.0070167183,1.5500597082655938,0.0,0,9,0.1500295522309067,0,0.00024583,C1,,0,0,0,0,0,0,15998.95020462903
2018-07-03,98332.97484418076,0.13305023596653381,7.6357513848,0,8,0.15117566008306038,1,0.00024583,C1,,0,0,0,0,0,0,15998.95020462903
2018-07-04,98678.04548616878,0.3030262994636281,14247.138423565293,0,7,0.15118116307939056,1,0.00024583,C1,,0,0,0,0,0,0,15998.95020462903
2018-07-05,100073.55122775512,0.022941387621536496,341.6198236875,0,8,0.15046786032807183,1,0.00024583,C1,,0,0,0,0,0,0,15998.95020462903
2018-07-06,102750.03148931086,0.25478937644016686,811.6430608944,0,7,0.15004002175516412,1,0.00024583,C1,,0,0,0,0,0,0,15998.95020462903
2018-07-10,101316.86595925297,0.22030409145850496,240.93969796901104,0,8,0.15005596236182764,1,0.00024583,C1,,0,0,0,0,0,0,15998.95020462903
2018-07-11,100640.75295958141,0.21598568405669827,196.86901197035928,0,8,0.1500284929366928,1,0.00024583,C1,,1,0,0,0,0,0,15998.95020462903
2018-07-12,102483.33083109895,0.08617287094649682,10162.15794522,0,9,0.15359341038536392,0,0.00024583,C1,,1,0,0,0,0,0,15998.95020462903
2018-07-13,101221.04693708834,0.07521158219919162,15705.96687792712,0,9,0.15303198044007088,0,0.00024583,C1,,1,0,0,0,0,0,15998.95020462903
2018-07-16,103067.10260822477,0.23651587218611783,26836.306816945358,0,6,0.14998562563636694,1,0.00024583,C1,,1,0,1,0,1,1,15998.95020462903
2018-07-17,104828.06184817063,0.05461054572111599,12334.415625,0,8,0.15128724781806,1,0.00024583,C1,,1,0,1,0,1,1,15998.95020462903
2018-07-18,104914.80836907211,0.11436851480620784,229.34387469374997,0,8,0.15018547599658888,1,0.00024583,C1,,1,0,1,0,1,1,15998.95020462903
2018-07-19,105489.63980624892,0.020825666203086502,410.1602369172702,0,8,0.15008869835698097,1,0.00024583,C1,,0,0,1,0,1,1,15998.95020462903
