date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross,split_factor,ratio_applied,shares_before,shares_after,buy_price_before,buy_price_after
2018-07-25,C20,N1TA34,defensive_sell,6.0,-2.924714306656562,1.0,48.0,14503.46314752,3.62677248,2018-07-26,0.0,,,,,,,,,
2018-07-27,C20,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,44.0,14458.643543223001,3.6155647770000003,2018-07-30,0.0,,,,,,,,,
2018-07-31,C20,AMZO34,rebalance_sell,,,1.0,2.0,33.36220464318001,0.00834263682,2018-08-01,1.0,,,,,,,,,
2018-07-31,C20,D1EX34,rebalance_sell,,,1.0,4.0,7.142286721815,0.001786018185,2018-08-01,1.0,,,,,,,,,
2018-07-31,C20,D1VN34,rebalance_sell,,,1.0,59.0,9968.98202227725,2.49286872275,2018-08-01,1.0,,,,,,,,,
2018-07-31,C20,L1UL34,rebalance_sell,,,1.0,121.0,13621.201561821563,3.4061519284375,2018-08-01,1.0,,,,,,,,,
2018-07-31,C20,NFLX34,rebalance_sell,,,1.0,4821.0,12214.237147342446,3.0543228675524996,2018-08-01,1.0,,,,,,,,,
2018-07-31,C20,A1MD34,concentration_trim,,,,356.0,3062.049902598375,0.765703901625,2018-08-01,1.0,0.1819837710696093,0.2,3063.4253539617584,,,,,,
2018-08-09,C20,A2XO34,defensive_sell,6.0,-3.8303798830831393,1.0,1012.0,12682.360499251667,3.1713829705555554,2018-08-10,0.0,,,,,,,,,
2018-08-28,C20,A1LG34,rebalance_sell,,,1.0,1.0,393.5426397375,0.0984102625,2018-08-29,1.0,,,,,,,,,
2018-08-28,C20,A2XO34,rebalance_sell,,,1.0,1.0,15.39738080333333,0.0038503077777777774,2018-08-29,1.0,,,,,,,,,
2018-08-28,C20,D1VN34,rebalance_sell,,,1.0,1.0,175.063415202,0.043776798,2018-08-29,1.0,,,,,,,,,
2018-08-28,C20,L1UL34,rebalance_sell,,,1.0,1.0,142.77696083400002,0.035703166,2018-08-29,1.0,,,,,,,,,
2018-08-28,C20,NFLX34,rebalance_sell,,,1.0,1.0,3.035009073996,0.0007589420040000001,2018-08-29,1.0,,,,,,,,,
2018-08-28,C20,T2ER34,rebalance_sell,,,1.0,1591.0,15178.820359329999,3.795654003333333,2018-08-29,1.0,,,,,,,,,
2018-08-28,C20,A1MD34,concentration_trim,,,,354.0,4564.837235317501,1.1414946825000003,2018-08-29,1.0,0.1904560737988872,0.2,4575.473020018882,,,,,,
2018-08-28,C20,T2TD34,concentration_trim,,,,11432.0,6595.286144651376,1.649233844624,2018-08-29,1.0,0.2083349573047587,0.2,6597.460017189256,,,,,,
2018-09-13,C20,T2ER34,defensive_sell,6.0,-3.1618842548829527,1.0,1.0,8.651393110874999,0.002163389125,2018-09-14,0.0,,,,,,,,,
2018-09-26,C20,EMAE4,rebalance_sell,,,1.0,1178.0,16841.18865,4.21135,2018-09-28,1.0,,,,,,,,,
2018-09-26,C20,A1MD34,concentration_trim,,,,221.0,3606.7802582053127,0.9019205446875,2018-09-27,1.0,0.18034275219806242,0.2,3614.4994573048825,,,,,,
2018-09-26,C20,T2TD34,concentration_trim,,,,1121.0,708.1578740105625,0.17708373943750003,2018-09-27,1.0,0.15594653011767307,0.2,708.3591826365846,,,,,,
2018-10-03,C20,A1MD34,defensive_sell,6.0,-2.7221354885926874,1.0,1094.0,14980.622303401125,3.746092098875,2018-10-04,0.0,,,,,,,,,
2018-10-04,C20,T1CH34,defensive_sell,4.0,-2.0994447040540742,0.25,309.0,1943.3703372496686,0.48596407533125,2018-10-05,0.0,,,,,,,,,
2018-10-09,C20,T1CH34,defensive_sell,6.0,-2.511865933176514,1.0,930.0,5461.861246486688,1.3658067633125002,2018-10-10,0.0,,,,,,,,,
2018-10-11,C20,INBR32,defensive_sell,4.0,-1.0379485691632124,0.25,351.0,5053.1364,1.2636,2018-10-16,0.0,,,,,,,,,
2018-10-15,C20,LILY34,defensive_sell,6.0,-3.307889298748635,1.0,64.0,880.7751303552,0.2202488448,2018-10-16,0.0,,,,,,,,,
2018-10-25,C20,ORLY34,defensive_sell,6.0,-3.3616565637624527,1.0,6.0,1.5496656747030002,0.00038751329700000003,2018-10-26,1.0,,,,,,,,,
2018-10-25,C20,A1MD34,rebalance_sell,,,1.0,1.0,8.913518313187499,0.0022289368125,2018-10-26,1.0,,,,,,,,,
2018-10-25,C20,D1EX34,rebalance_sell,,,1.0,5817.0,13524.572830835117,3.3819887048850004,2018-10-26,1.0,,,,,,,,,
2018-10-25,C20,H1CA34,rebalance_sell,,,1.0,10.0,235.09115451450003,0.058787485500000014,2018-10-26,1.0,,,,,,,,,
2018-10-25,C20,P1YC34,rebalance_sell,,,1.0,852.0,13386.8074900428,3.3475387572,2018-10-26,1.0,,,,,,,,,
2018-10-25,C20,T1CH34,rebalance_sell,,,1.0,1.0,5.5457780088,0.0013867912000000001,2018-10-26,1.0,,,,,,,,,
2018-10-25,C20,T2TD34,rebalance_sell,,,1.0,28276.0,12162.728368683216,3.0414424527840005,2018-10-26,1.0,,,,,,,,,
2018-10-25,C20,INBR32,concentration_trim,,,,133.0,2329.57746,0.58254,2018-10-29,1.0,0.17170186827399922,0.2,2331.763905597518,,,,,,
2018-10-26,C20,RSUL3,defensive_sell,5.0,-1.5275252316186103,0.5,1.0,0.09997500000000001,2.5e-05,2018-10-30,0.0,,,,,,,,,
2018-10-29,C20,RSUL3,defensive_sell,5.0,-1.4689774459639107,0.5,1.0,0.09997500000000001,2.5e-05,2018-10-31,0.0,,,,,,,,,
2018-10-31,C20,RANI3,defensive_sell,5.0,-1.9537002966238972,0.5,171.0,642.7992599999999,0.16074,2018-11-05,0.0,,,,,,,,,
2018-11-09,C20,T2TD34,defensive_sell,5.0,-2.005708026320429,0.5,1.0,0.45959611423950003,0.0001149277605,2018-11-12,0.0,,,,,,,,,
2018-11-21,C20,D1EX34,defensive_sell,6.0,-3.7275339649714527,1.0,1.0,2.3022312582600004,0.00057570174,2018-11-22,0.0,,,,,,,,,
2018-11-21,C20,P1YC34,defensive_sell,6.0,-2.8451269893017455,1.0,1.0,15.150061137600002,0.0037884624000000004,2018-11-22,0.0,,,,,,,,,
2018-11-27,C20,AZEV3,rebalance_sell,,,1.0,400.0,7198.2,1.8,2018-11-29,1.0,,,,,,,,,
2018-11-27,C20,PRIO3,rebalance_sell,,,1.0,5370.0,13042.079664750001,3.26133525,2018-11-29,1.0,,,,,,,,,
2018-11-27,C20,RANI3,rebalance_sell,,,1.0,172.0,522.74928,0.13072,2018-11-29,1.0,,,,,,,,,
2018-11-27,C20,RSUL3,rebalance_sell,,,1.0,1.0,0.09997500000000001,2.5e-05,2018-11-29,1.0,,,,,,,,,
2018-11-27,C20,T2TD34,rebalance_sell,,,1.0,1.0,0.5036803234312501,0.00012595156875000002,2018-11-28,1.0,,,,,,,,,
2018-11-27,C20,LOGN3,concentration_trim,,,,603.0,3828.0927374999997,0.9572624999999999,2018-11-29,1.0,0.19024221005722372,0.2,3830.87681939311,,,,,,
2018-12-27,C20,CLSC3,rebalance_sell,,,1.0,317.0,14578.3545,3.6455,2019-01-02,1.0,,,,,,,,,
2018-12-27,C20,INBR32,rebalance_sell,,,1.0,920.0,14348.412,3.588,2019-01-02,1.0,,,,,,,,,
2018-12-27,C20,JSLG3,rebalance_sell,,,1.0,1.0,2.242739175,0.000560825,2019-01-02,1.0,,,,,,,,,
2018-12-27,C20,LOGN3,rebalance_sell,,,1.0,2249.0,17740.173847500002,4.4361525,2019-01-02,1.0,,,,,,,,,
2018-12-27,C20,RANI3,rebalance_sell,,,1.0,1.0,2.899275,0.000725,2019-01-02,1.0,,,,,,,,,
2018-12-27,C20,CMIG3,concentration_trim,,,,109.0,1212.9538857,0.30331430000000004,2019-01-02,1.0,0.1619295577870467,0.2,1219.3701609446089,,,,,,
2019-01-29,C20,JHSF3,rebalance_sell,,,1.0,1.0,1.8895274999999998,0.0004725,2019-01-31,1.0,,,,,,,,,
2019-01-29,C20,TGMA3,rebalance_sell,,,1.0,309.0,9042.1688925,2.2611075,2019-01-31,1.0,,,,,,,,,
