date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,is_rebalance_day,weight_before,weight_cap,value_sold_gross
2018-07-12,C07,D1VN34,rebalance_sell,,,1.0,60,10162.15794522,2.5411747800000004,2018-07-13,1,,,
2018-07-12,C07,N1TA34,rebalance_sell,,,1.0,47,14831.669135504997,3.7088444949999992,2018-07-13,1,,,
2018-07-12,C07,A1LG34,concentration_trim,,,,1,349.70731330949997,0.0874486905,2018-07-13,1,0.1538040474893352,0.2,389.3175495381165
2018-07-12,C07,A1MD34,concentration_trim,,,,102,814.0367359259999,0.20356007399999998,2018-07-13,1,0.15802804980639315,0.2,821.6138248416901
2018-07-12,C07,NFLX34,concentration_trim,,,,8,25.507563914400002,0.006378485600000001,2018-07-13,1,0.15026504768614898,0.2,27.125692452793373
2018-07-23,C07,AMZO34,rebalance_sell,,,1.0,2,34.15287464625,0.00854035375,2018-07-24,1,,,
2018-07-23,C07,L1UL34,rebalance_sell,,,1.0,121,14375.450977315313,3.5947614346875003,2018-07-24,1,,,
2018-07-23,C07,N1TA34,rebalance_sell,,,1.0,1,308.51303745375003,0.07714754625,2018-07-24,1,,,
2018-07-23,C07,NFLX34,rebalance_sell,,,1.0,4813,13232.685405538963,3.3089986010349994,2018-07-24,1,,,
2018-07-23,C07,A1LG34,concentration_trim,,,,2,715.46671359375,0.17891140625000002,2018-07-24,1,0.1575905378324228,0.2,758.3385135269255
2018-07-23,C07,A1MD34,concentration_trim,,,,26,205.239444808125,0.051322691875,2018-07-24,1,0.15205872761087355,0.2,205.6783952378628
2018-07-27,C07,A1LG34,defensive_sell,6.0,-3.0998434200374523,1.0,42,13801.4324730765,3.4512209235,2018-07-30,0,,,
2018-08-01,C07,D1EX34,rebalance_sell,,,1.0,5528,9887.50933910136,2.4724954586399996,2018-08-02,1,,,
2018-08-01,C07,L1UL34,rebalance_sell,,,1.0,1,112.9602541246875,0.0282471253125,2018-08-02,1,,,
2018-08-01,C07,NFLX34,rebalance_sell,,,1.0,1,2.536606605771,0.000634310229,2018-08-02,1,,,
2018-08-01,C07,A1MD34,concentration_trim,,,,230,1991.3988557925,0.4979742075,2018-08-02,1,0.17077761495263563,0.2,1999.8616958894654
2018-08-06,C07,D1EX34,defensive_sell,4.0,-0.7265123274321114,0.25,1,2.26651011078,0.00056676922,2018-08-07,0,,,
2018-08-09,C07,A2XO34,defensive_sell,6.0,-3.8303798830831393,1.0,1012,12682.360499251667,3.171382970555556,2018-08-10,0,,,
2018-08-10,C07,A2XO34,rebalance_sell,,,1.0,1,13.134903453,0.003284547,2018-08-13,1,,,
